Sample Name,Cq   ,Cq Mean,Cq Error,Sample Type     ,fecal_mass_g
std 0      ,8.96,9.19,0.33,Standard        ,
std -1     ,13.53,13.4,0.18,Standard        ,
std -3     ,20.81,21.06,0.35,Standard        ,
std -5     ,31.28,31.16,0.17,Standard        ,
std -7     ,38.53,38.13,0.57,Standard        ,
std -8     ,38.25,37.71,0.77,Standard        ,
neg        ,39.05,38.87,3.58,Negative control,
neg        ,35.2,38.87,3.58,Negative control,
neg        ,42.36,38.87,3.58,Negative control,
n103801    ,19.59,19.66,0.08,Unknown         ,
n103801    ,19.75,19.66,0.08,Unknown         ,
n103801    ,19.65,19.66,0.08,Unknown         ,
std 0      ,9.42,9.19,0.33,Standard        ,
std -1     ,13.27,13.4,0.18,Standard        ,
std -3     ,21.3,21.06,0.35,Standard        ,
std -5     ,31.04,31.16,0.17,Standard        ,
std -7     ,37.72,38.13,0.57,Standard        ,
std -8     ,37.16,37.71,0.77,Standard        ,
n103802    ,24.04,24.06,0.03,Unknown         ,
n103802    ,24.1,24.06,0.03,Unknown         ,
n103802    ,24.05,24.06,0.03,Unknown         ,
n103803    ,24.78,24.82,0.07,Unknown         ,
n103803    ,24.78,24.82,0.07,Unknown         ,
n103803    ,24.9,24.82,0.07,Unknown         ,
n010601    ,13.31,13.74,0.4,Unknown         ,
n010602    ,11.33,11.45,0.37,Unknown         ,
n010603    ,10.73,12.33,2.15,Unknown         ,
n010701    ,18.08,17.99,0.08,Unknown         ,
n010702    ,26.48,26.33,0.14,Unknown         ,
n010703    ,18.88,18.92,0.29,Unknown         ,
n011102    ,11.11,11.34,0.2,Unknown         ,
n011201    ,12.38,12.52,0.16,Unknown         ,
n011303    ,21.78,21.68,0.19,Unknown         ,
n103901    ,22.9,23,0.09,Unknown         ,
n103901    ,23.05,23,0.09,Unknown         ,
n103901    ,23.05,23,0.09,Unknown         ,
n010601    ,13.81,13.74,0.4,Unknown         ,
n010602    ,11.15,11.45,0.37,Unknown         ,
n010603    ,11.48,12.33,2.15,Unknown         ,
n010701    ,17.95,17.99,0.08,Unknown         ,
n010702    ,26.21,26.33,0.14,Unknown         ,
n010703    ,19.23,18.92,0.29,Unknown         ,
n011102    ,11.41,11.34,0.2,Unknown         ,
n011201    ,12.7,12.52,0.16,Unknown         ,
n011303    ,21.81,21.68,0.19,Unknown         ,
n103701    ,17.85,17.96,0.1,Unknown         ,
n103701    ,18.01,17.96,0.1,Unknown         ,
n103701    ,18.03,17.96,0.1,Unknown         ,
n010601    ,14.09,13.74,0.4,Unknown         ,
n010602    ,11.87,11.45,0.37,Unknown         ,
n010603    ,14.77,12.33,2.15,Unknown         ,
n010701    ,17.95,17.99,0.08,Unknown         ,
n010702    ,26.31,26.33,0.14,Unknown         ,
n010703    ,18.65,18.92,0.29,Unknown         ,
n011102    ,11.5,11.34,0.2,Unknown         ,
n011201    ,12.49,12.52,0.16,Unknown         ,
n011303    ,21.46,21.68,0.19,Unknown         ,
n103702    ,20.81,20.86,0.06,Unknown         ,
n103702    ,20.84,20.86,0.06,Unknown         ,
n103702    ,20.92,20.86,0.06,Unknown         ,
p070501    ,13.16,13.36,0.18,Unknown         ,
p070502    ,10.94,11.26,0.28,Unknown         ,
p070601    ,9.29,9.38,0.09,Unknown         ,
p070602    ,9.57,9.96,0.34,Unknown         ,
p070603    ,9.32,9.52,0.17,Unknown         ,
p070701    ,10.7,10.82,0.14,Unknown         ,
p071101    ,9.78,9.79,0.21,Unknown         ,
p071102    ,14.98,14.8,0.16,Unknown         ,
p071103    ,10.77,10.59,0.16,Unknown         ,
p071201    ,11.92,12.23,0.29,Unknown         ,
p071301    ,10.31,10.4,0.12,Unknown         ,
p071303    ,11.57,11.62,0.05,Unknown         ,
p070501    ,13.4,13.36,0.18,Unknown         ,
p070502    ,11.39,11.26,0.28,Unknown         ,
p070601    ,9.4,9.38,0.09,Unknown         ,
p070602    ,10.12,9.96,0.34,Unknown         ,
p070603    ,9.61,9.52,0.17,Unknown         ,
p070701    ,10.78,10.82,0.14,Unknown         ,
p071101    ,10,9.79,0.21,Unknown         ,
p071102    ,14.68,14.8,0.16,Unknown         ,
p071103    ,10.53,10.59,0.16,Unknown         ,
p071201    ,12.29,12.23,0.29,Unknown         ,
p071301    ,10.53,10.4,0.12,Unknown         ,
p071303    ,11.62,11.62,0.05,Unknown         ,
p070501    ,13.52,13.36,0.18,Unknown         ,
p070502    ,11.44,11.26,0.28,Unknown         ,
p070601    ,9.46,9.38,0.09,Unknown         ,
p070602    ,10.19,9.96,0.34,Unknown         ,
p070603    ,9.63,9.52,0.17,Unknown         ,
p070701    ,10.97,10.82,0.14,Unknown         ,
p071101    ,9.59,9.79,0.21,Unknown         ,
p071102    ,14.75,14.8,0.16,Unknown         ,
p071103    ,10.47,10.59,0.16,Unknown         ,
p071201    ,12.49,12.23,0.29,Unknown         ,
p071301    ,10.36,10.4,0.12,Unknown         ,
p071303    ,11.66,11.62,0.05,Unknown         ,
