Sample Name,Cq   ,Cq Mean,Cq Error,sample_type,fecal_mass_g
d0 11-1,10.96,10.94,0.06,sample,
d0 11-1,10.99,10.94,0.06,sample,
d0 11-1,10.87,10.94,0.06,sample,
d0 11-1,10.86,10.94,0.06,sample,
d0 11-1,10.92,10.94,0.06,sample,
d0 11-1,11.01,10.94,0.06,sample,
d0 11-3    ,9.18,9.34,0.2,sample,
d0 11-3    ,9.28,9.34,0.2,sample,
d0 11-3    ,9.57,9.34,0.2,sample,
d0 12-1    ,9.28,9.3,0.16,sample,
d0 12-1    ,9.15,9.3,0.16,sample,
d0 12-1    ,9.47,9.3,0.16,sample,
d0 13-1    ,11.45,11.49,0.13,sample,
d0 13-1    ,11.64,11.49,0.13,sample,
d0 13-1    ,11.38,11.49,0.13,sample,
d0 13-3    ,11.74,11.69,0.07,sample,
d0 13-3    ,11.64,11.69,0.07,sample,
d0 5-1     ,11.72,11.77,0.06,sample,
d0 5-1     ,11.84,11.77,0.06,sample,
d0 5-1     ,11.76,11.77,0.06,sample,
d0 5-2     ,11.89,12.11,0.2,sample,
d0 5-2     ,12.19,12.11,0.2,sample,
d0 5-2     ,12.26,12.11,0.2,sample,
d0 6-1     ,8.71,8.64,0.07,sample,
d0 6-1     ,8.64,8.64,0.07,sample,
d0 6-1     ,8.57,8.64,0.07,sample,
d0 6-2     ,9.5,9.36,0.13,sample,
d0 6-2     ,9.34,9.36,0.13,sample,
d0 6-2     ,9.25,9.36,0.13,sample,
d0 6-3     ,10.74,11.01,0.35,sample,
d0 6-3     ,10.88,11.01,0.35,sample,
d0 6-3     ,11.41,11.01,0.35,sample,
d0 7-1     ,11.96,11.97,0.01,sample,
d0 7-1     ,11.98,11.97,0.01,sample,
d0 7-1     ,11.96,11.97,0.01,sample,
d-14 11-1  ,9.85,9.82,0.14,sample,
d-14 11-1  ,9.94,9.82,0.14,sample,
d-14 11-1  ,9.67,9.82,0.14,sample,
d-14 11-2  ,10.15,10.15,0.03,sample,
d-14 11-2  ,10.12,10.15,0.03,sample,
d-14 11-2  ,10.18,10.15,0.03,sample,
d-14 12-1  ,9.97,10.03,0.13,sample,
d-14 12-1  ,9.94,10.03,0.13,sample,
d-14 12-1  ,10.18,10.03,0.13,sample,
d-14 13-1  ,9.4,9.65,0.29,sample,
d-14 13-1  ,9.58,9.65,0.29,sample,
d-14 13-1  ,9.96,9.65,0.29,sample,
d-14 13-2  ,9.78,10.23,0.39,sample,
d-14 13-2  ,10.42,10.23,0.39,sample,
d-14 13-2  ,10.5,10.23,0.39,sample,
d-14 5-1   ,11.17,11.22,0.1,sample,
d-14 5-1   ,11.34,11.22,0.1,sample,
d-14 5-1   ,11.15,11.22,0.1,sample,
d-14 5-2   ,10.44,10.52,0.21,sample,
d-14 5-2   ,10.37,10.52,0.21,sample,
d-14 5-2   ,10.76,10.52,0.21,sample,
d-14 6-2   ,9.58,9.53,0.1,sample,
d-14 6-2   ,9.42,9.53,0.1,sample,
d-14 6-2   ,9.6,9.53,0.1,sample,
d-14 7-1   ,9.76,9.96,0.17,sample,
d-14 7-1   ,10.04,9.96,0.17,sample,
d-14 7-1   ,10.08,9.96,0.17,sample,
d-14 7-2   ,11.23,11.34,0.11,sample,
d-14 7-2   ,11.34,11.34,0.11,sample,
d-14 7-2   ,11.45,11.34,0.11,sample,
d4 5-1     ,14.19,14.18,0.01,sample,
d4 5-1     ,14.17,14.18,0.01,sample,
d4 5-1     ,14.19,14.18,0.01,sample,
d4 5-2     ,10.22,10.14,0.07,sample,
d4 5-2     ,10.08,10.14,0.07,sample,
d4 5-2     ,10.12,10.14,0.07,sample,
d4 6-2     ,10.71,10.71,0.03,sample,
d4 6-2     ,10.69,10.71,0.03,sample,
d4 6-2     ,10.74,10.71,0.03,sample,
d4 6-3     ,8.88,8.94,0.06,sample,
d4 6-3     ,8.98,8.94,0.06,sample,
d4 6-3     ,8.97,8.94,0.06,sample,
d4 7-1     ,8.54,8.64,0.13,sample,
d4 7-1     ,8.78,8.64,0.13,sample,
d4 7-1     ,8.59,8.64,0.13,sample,
neg_cont,37.44,36.08,1.91,neg,
neg_cont,33.9,36.08,1.91,neg,
neg_cont,36.89,36.08,1.91,neg,
std 0      ,8.59,8.33,0.37,standard,
std 0      ,8.07,8.33,0.37,standard,
std -1,12.96,12.96,0,standard,
std -3     ,20,20.27,0.38,standard,
std -3     ,20.54,20.27,0.38,standard,
std -5     ,29.78,29.91,0.18,standard,
std -5     ,30.03,29.91,0.18,standard,
std -7     ,38.18,37.78,0.57,standard,
std -7     ,37.37,37.78,0.57,standard,
std -8     ,37.52,37.96,0.62,standard,
std -8     ,38.4,37.96,0.62,standard,
std -1,11.75,11.75,0,standard,
