Extraction Date,Experiment Day,Mouse ID,feces only,feces+PBS,BB tube before,BB tube +slurry+CD1,BB tube +slurry,fecal slurry,,
20190404,d-10,n103801,0.0248,,3.0764,4.0383,,0.1107,,
,,n103802,0.0127,,3.0479,3.91,,0.0109,,
,,n103803,0.0239,,3.0277,3.9334,,0.0545,,
,,n103901,0.0254,,3.0703,4.0565,,0.135,,
,,n103701,0.0549,,3.0556,4.2994,,0.3926,,
,,n103702,0.0168,,3.0453,3.9281,,0.0316,,
,,n104401,0.028,,3.0204,4.0052,,0.1336,,
,,n104402,0.0262,,3.0685,4.0348,,0.1151,,
20190405,d-7,n073802,0.047,,3.049,4.2103,,0.3101,,
,,n073804,0.0232,,3.0707,4.0139,,0.092,,
,,n073902,0.0556,,3.054,4.336,,0.4308,,
,,n073701,0.0332,,3.1164,4.1585,,0.1909,,
,,n073702,0.0394,,3.082,4.1824,,0.2492,,
,,n074401,0.0646,,3.0609,4.3317,,0.4196,,
,,n074402,0.0433,,3.094,4.2173,,0.2721,,
20190412,d-4,n043801,0.0857,0.2315,3.04,4.0931,,0.2019,,2.701283547
,,n043902,0.0684,0.2518,3.1142,4.1909,,0.2255,,3.68128655
,,n043702,0.0533,0.0799,3.0451,3.9468,,0.0505,,1.499061914
,,n043703,0.04,0.0959,3.0678,3.9773,,0.0583,,2.3975
,,n044002,0.0407,0.0698,3.0364,3.9258,,0.0382,,1.714987715
,,n044402,0.0392,0.3924,3.0458,4.0417,,0.1447,,10.01020408
,,n044403,0.068,0.6921,3.0561,4.354,,0.4467,,10.17794118
20190411,d-1,n013802,0.03569,0.3569,3.0311,4.1172,,0.2349,,don’t_havefecalweightjustdividedfecespluspbsby10
,,n013804,0.062,0.62,3.0569,4.4062,,0.4981,,don’t_havefecalweightjustdividedfecespluspbsby10
,,n013902,0.06616,0.6616,3.0834,4.4946,,0.56,,don’t_havefecalweightjustdividedfecespluspbsby10
,,n013702,0.03553,0.3553,3.0645,4.1465,,0.2308,,don’t_havefecalweightjustdividedfecespluspbsby10
,,n013703,0.0474,0.474,3.0348,4.2364,,0.3504,,don’t_havefecalweightjustdividedfecespluspbsby10
,,n014402,0.01379,0.1379,3.0957,4.0063,,0.0594,,don’t_havefecalweightjustdividedfecespluspbsby10
,,n014403,0.02325,0.2325,3.078,4.0576,,0.1284,,don’t_havefecalweightjustdividedfecespluspbsby10
20190502,d-4,n044301,0.0415,,3.0296,3.9461,,0.0653,,
,,n044302,0.0563,,3.0597,3.9952,,0.0843,,
,,n044303,0.0312,,3.1012,3.9941,,0.0417,,
,,n044401,0.0492,,3.0524,3.9905,,0.0869,,
,d-7,n073703,0.0348,,3.0865,3.9761,,0.0384,,
,,n074001,0.0621,,3.0601,4.0352,,0.1239,,
,,n074002,0.0372,,3.0893,3.9819,,0.0414,,
,,n074301,0.0491,,3.0747,4.0072,,0.0813,,
,,n074302,0.065,,3.1223,4.0489,,0.0754,,
,,n074303,0.0448,,3.0839,4.041,,0.1059,,
