sampleID	seqID	patientID	experiment
17751cec	17751cec	17751	chen_model
17751n01	17751n01	17751	chen_model
17751n06	17751n06	17751	chen_model
17751n08	17751n08	17751	chen_model
17751p00	17751p00	17751	chen_model
17751p01	17751p01	17751	chen_model
17751p04	17751p04	17751	chen_model
17751p07	17751p07	17751	chen_model
17752cec	17752cec	17752	chen_model
17752n01	17752n01	17752	chen_model
17752n06	17752n06	17752	chen_model
17752n08	17752n08	17752	chen_model
17752p00	17752p00	17752	chen_model
17752p01	17752p01	17752	chen_model
17752p04	17752p04	17752	chen_model
17752p07	17752p07	17752	chen_model
17753cec	17753cec	17753	chen_model
17753n01	17753n01	17753	chen_model
17753n06	17753n06	17753	chen_model
17753n08	17753n08	17753	chen_model
17753p00	17753p00	17753	chen_model
17753p01	17753p01	17753	chen_model
17753p04	17753p04	17753	chen_model
17753p07	17753p07	17753	chen_model
17754cec	17754cec	17754	chen_model
17754n01	17754n01	17754	chen_model
17754n06	17754n06	17754	chen_model
17754n08	17754n08	17754	chen_model
17754p00	17754p00	17754	chen_model
17754p01	17754p01	17754	chen_model
17754p04	17754p04	17754	chen_model
17754p07	17754p07	17754	chen_model
17761cec	17761cec	17761	chen_model
17761n01	17761n01	17761	chen_model
17761n06	17761n06	17761	chen_model
17761n08	17761n08	17761	chen_model
17761p00	17761p00	17761	chen_model
17761p01	17761p01	17761	chen_model
17761p04	17761p04	17761	chen_model
17761p07	17761p07	17761	chen_model
17762cec	17762cec	17762	chen_model
17762n01	17762n01	17762	chen_model
17762n06	17762n06	17762	chen_model
17762n08	17762n08	17762	chen_model
17762p00	17762p00	17762	chen_model
17762p01	17762p01	17762	chen_model
17762p04	17762p04	17762	chen_model
17762p07	17762p07	17762	chen_model
17763cec	17763cec	17763	chen_model
17763n01	17763n01	17763	chen_model
17763n06	17763n06	17763	chen_model
17763n08	17763n08	17763	chen_model
17763p00	17763p00	17763	chen_model
17763p01	17763p01	17763	chen_model
17763p04	17763p04	17763	chen_model
17763p07	17763p07	17763	chen_model
17764cec	17764cec	17764	chen_model
17764n01	17764n01	17764	chen_model
17764n06	17764n06	17764	chen_model
17764n08	17764n08	17764	chen_model
17764p00	17764p00	17764	chen_model
17764p01	17764p01	17764	chen_model
17764p04	17764p04	17764	chen_model
17764p07	17764p07	17764	chen_model
17781cec	17781cec	17781	chen_model
17781n01	17781n01	17781	chen_model
17781n06	17781n06	17781	chen_model
17781n08	17781n08	17781	chen_model
17781p00	17781p00	17781	chen_model
17781p01	17781p01	17781	chen_model
17781p04	17781p04	17781	chen_model
17781p07	17781p07	17781	chen_model
17782cec	17782cec	17782	chen_model
17782n01	17782n01	17782	chen_model
17782n06	17782n06	17782	chen_model
17782n08	17782n08	17782	chen_model
17782p00	17782p00	17782	chen_model
17782p01	17782p01	17782	chen_model
17782p04	17782p04	17782	chen_model
17782p07	17782p07	17782	chen_model
17783cec	17783cec	17783	chen_model
17783n01	17783n01	17783	chen_model
17783n08	17783n08	17783	chen_model
17783p00	17783p00	17783	chen_model
17783p01	17783p01	17783	chen_model
17783p04	17783p04	17783	chen_model
17783p07	17783p07	17783	chen_model
17791cec	17791cec	17791	chen_model
17791n01	17791n01	17791	chen_model
17791n06	17791n06	17791	chen_model
17791n08	17791n08	17791	chen_model
17791p00	17791p00	17791	chen_model
17791p01	17791p01	17791	chen_model
17791p04	17791p04	17791	chen_model
17791p07	17791p07	17791	chen_model
17792cec	17792cec	17792	chen_model
17792n06	17792n06	17792	chen_model
17792n08	17792n08	17792	chen_model
17792p00	17792p00	17792	chen_model
17792p04	17792p04	17792	chen_model
17792p07	17792p07	17792	chen_model
17793n06	17793n06	17783	chen_model
17801cec	17801cec	17801	chen_model
17801n06	17801n06	17801	chen_model
17801n08	17801n08	17801	chen_model
17801p00	17801p00	17801	chen_model
17801p01	17801p01	17801	chen_model
17801p04	17801p04	17801	chen_model
17801p07	17801p07	17801	chen_model
17802cec	17802cec	17802	chen_model
17802n01	17802n01	17802	chen_model
17802n08	17802n08	17802	chen_model
17802p00	17802p00	17802	chen_model
17802p01	17802p01	17802	chen_model
17802p04	17802p04	17802	chen_model
17802p07	17802p07	17802	chen_model
17803cec	17803cec	17803	chen_model
17803n01	17803n01	17803	chen_model
17803n06	17803n06	17803	chen_model
17803n08	17803n08	17803	chen_model
17803p01	17803p01	17803	chen_model
17803p04	17803p04	17803	chen_model
17803p07	17803p07	17803	chen_model
1780n01	1780n01	17801	chen_model
1780n06	1780n06	17803	chen_model
17821cec	17821cec	17821	chen_model
17821n01	17821n01	17821	chen_model
17821n06	17821n06	17821	chen_model
17821n08	17821n08	17821	chen_model
17821p00	17821p00	17821	chen_model
17821p01	17821p01	17821	chen_model
17821p04	17821p04	17821	chen_model
17821p07	17821p07	17821	chen_model
17822cec	17822cec	17822	chen_model
17822n01	17822n01	17822	chen_model
17822n06	17822n06	17822	chen_model
17822n08	17822n08	17822	chen_model
17822p00	17822p00	17822	chen_model
17822p01	17822p01	17822	chen_model
17822p04	17822p04	17822	chen_model
17822p07	17822p07	17822	chen_model
1784a1cec	1784a1cec	1784a1	relapse
1784a1p00	1784a1p00	1784a1	relapse
1784a1p04	1784a1p04	1784a1	relapse
1784a1p09	1784a1p09	1784a1	relapse
1784a1p11	1784a1p11	1784a1	relapse
1784a1p14	1784a1p14	1784a1	relapse
1784a1p16	1784a1p16	1784a1	relapse
1784a1p22	1784a1p22	1784a1	relapse
1784a2cec	1784a2cec	1784a2	relapse
1784a2p00	1784a2p00	1784a2	relapse
1784a2p01	1784a2p01	1784a2	relapse
1784a2p04	1784a2p04	1784a2	relapse
1784a2p09	1784a2p09	1784a2	relapse
1784a2p11	1784a2p11	1784a2	relapse
1784a2p14	1784a2p14	1784a2	relapse
1784a2p16	1784a2p16	1784a2	relapse
1784a2p22	1784a2p22	1784a2	relapse
1784a2p28	1784a2p28	1784a2	relapse
1784a3cec	1784a3cec	1784a3	relapse
1784a3n10	1784a3n10	1784a3	relapse
1784a3p00	1784a3p00	1784a3	relapse
1784a3p01	1784a3p01	1784a3	relapse
1784a3p04	1784a3p04	1784a3	relapse
1784a3p09	1784a3p09	1784a3	relapse
1784a3p11	1784a3p11	1784a3	relapse
1784a3p14	1784a3p14	1784a3	relapse
1784a3p16	1784a3p16	1784a3	relapse
1784a3p22	1784a3p22	1784a3	relapse
1784a3p28	1784a3p28	1784a3	relapse
1784b1p00	1784b1p00	1784b1	relapse
1784b1p01	1784b1p01	1784b1	relapse
1784b1p04	1784b1p04	1784b1	relapse
1784b1p09	1784b1p09	1784b1	relapse
1784b1p11	1784b1p11	1784b1	relapse
1784b1p14	1784b1p14	1784b1	relapse
1784b1p16	1784b1p16	1784b1	relapse
1784b2cec	1784b2cec	1784b2	relapse
1784b2p00	1784b2p00	1784b2	relapse
1784b2p01	1784b2p01	1784b2	relapse
1784b2p04	1784b2p04	1784b2	relapse
1784b2p09	1784b2p09	1784b2	relapse
1784b2p11	1784b2p11	1784b2	relapse
1784b2p14	1784b2p14	1784b2	relapse
1784b2p16	1784b2p16	1784b2	relapse
1784b2p22	1784b2p22	1784b2	relapse
1784b2p28	1784b2p28	1784b2	relapse
17851cec	17851cec	17851	relapse
17851n10	17851n10	17851	relapse
17851p00	17851p00	17851	relapse
17851p01	17851p01	17851	relapse
17851p04	17851p04	17851	relapse
17851p09	17851p09	17851	relapse
17851p11	17851p11	17851	relapse
17851p14	17851p14	17851	relapse
17851p16	17851p16	17851	relapse
17851p22	17851p22	17851	relapse
17851p28	17851p28	17851	relapse
17852cec	17852cec	17852	relapse
17852n10	17852n10	17852	relapse
17852p01	17852p01	17852	relapse
17852p04	17852p04	17852	relapse
17852p09	17852p09	17852	relapse
17852p11	17852p11	17852	relapse
