seqID	sampleID	patientID	experiment	Time	group	group2	pcoa03_axis1	pcoa03_axis2	pcoa03_axis3	nmds03_axis1	nmds03_axis2	nmds03_axis3	simpsoneven_03	simpson_03	simpson_lci_03	simpson_hci_03	invsimpson_03	invsimpson_lci_03	invsimpson_hci_03	shannon_03	shannon_lci_03	shannon_hci_03	npshannon_03	sobs_03	chao_03	chao_lci_03	chao_hci_03	nseqs	Otu0001	Otu0002	Otu0003	Otu0004	Otu0005	Otu0006	Otu0007	Otu0008	Otu0009	Otu0010	Otu0011	Otu0012	Otu0013	Otu0014	Otu0015	Otu0016	Otu0017	Otu0018	Otu0019	Otu0020	Otu0021	Otu0022	Otu0023	Otu0024	Otu0025	Otu0026	Otu0027	Otu0028	Otu0029	Otu0030	Otu0031	Otu0032	Otu0033	Otu0034	Otu0035	Otu0036	Otu0037	Otu0038	Otu0039	Otu0040	Otu0041	Otu0042	Otu0043	Otu0044	Otu0045	Otu0046	Otu0047	Otu0048	Otu0049	Otu0050	Otu0051	Otu0052	Otu0053	Otu0054	Otu0055	Otu0056	Otu0057	Otu0058	Otu0059	Otu0060	Otu0061	Otu0062	Otu0063	Otu0064	Otu0065	Otu0066	Otu0067	Otu0068	Otu0069	Otu0070	Otu0071	Otu0072	Otu0073	Otu0074	Otu0075	Otu0076	Otu0077	Otu0078	Otu0079	Otu0080	Otu0081	Otu0082	Otu0083	Otu0084	Otu0085	Otu0086	Otu0087	Otu0088	Otu0089	Otu0090	Otu0091	Otu0092	Otu0093	Otu0094	Otu0095	Otu0096	Otu0097	Otu0098	Otu0099	Otu0100	Otu0101	Otu0102	Otu0103	Otu0104	Otu0105	Otu0106	Otu0107	Otu0108	Otu0109	Otu0110	Otu0111	Otu0112	Otu0113	Otu0114	Otu0115	Otu0116	Otu0117	Otu0118	Otu0119	Otu0120	Otu0121	Otu0122	Otu0123	Otu0124	Otu0125	Otu0126	Otu0127	Otu0128	Otu0129	Otu0130	Otu0131	Otu0132	Otu0133	Otu0134	Otu0135	Otu0136	Otu0137	Otu0138	Otu0139	Otu0140	Otu0141	Otu0142	Otu0143	Otu0144	Otu0145	Otu0146	Otu0147	Otu0148	Otu0149	Otu0150	Otu0151	Otu0152	Otu0153	Otu0154	Otu0155	Otu0156	Otu0157	Otu0158	Otu0159	Otu0160	Otu0161	Otu0162	Otu0163	Otu0164	Otu0165	Otu0166	Otu0167	Otu0168	Otu0169	Otu0170	Otu0171	Otu0172	Otu0173	Otu0174	Otu0175	Otu0176	Otu0177	Otu0178	Otu0179	Otu0180	Otu0181	Otu0182	Otu0183	Otu0184	Otu0185	Otu0186	Otu0187	Otu0188	Otu0189	Otu0190
17751cec	17751cec	17751	chen_model	28	xg	xg	0.354938	0.361989	-0.077945	0.165917	0.099645	0.625301	0.077385	0.051279	0.04973	0.052828	19.501038	18.929181	20.108524	3.805399	3.784919	3.82588	3.819932	252	410.333333	335.576689	551.957379	21162	101	6	380	3492	2144	0	28	215	782	550	0	239	16	117	178	0	4	0	0	118	0	277	0	0	344	768	138	0	22	381	593	83	84	143	133	0	0	0	0	1	0	135	65	134	0	193	0	640	255	335	0	0	0	0	0	222	0	0	0	0	5	0	3	123	25	55	29	74	232	0	2	1197	16	0	9	131	23	7	224	62	281	149	18	536	1	77	139	4	38	3	0	171	0	0	49	283	130	153	0	0	0	180	0	68	0	41	35	7	61	34	0	0	41	64	4	0	660	0	82	5	0	45	0	0	81	16	39	0	8	93	84	0	93	1	308	64	29	42	0	44	276	77	4	43	0	8	20	1	0	24	0	0	49	30	28	23	58	0	3	0	23	0	100	15	4	0	5	0	24	0	0	0	0	36	0	0	0	4	13	0	5	0	0	12	0	32	0	0	5	25
17751n01	17751n01	17751	chen_model	-1	xg	xg	0.31103	-0.099432	-0.176937	-0.100671	0.280798	0.179408	0.078979	0.131891	0.129898	0.133884	7.581995	7.469128	7.698327	2.337451	2.323047	2.351855	2.349064	96	175.615385	132.430012	269.994162	21513	2108	2392	4582	4607	1157	1	972	1597	440	1742	0	70	0	533	107	0	0	0	0	0	0	52	1	0	0	0	0	0	0	515	0	167	0	0	0	0	0	1	0	0	0	0	78	31	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	36	0	0	0	28	61	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	10	0	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	3	0	3	0
17751n06	17751n06	17751	chen_model	-6	xg	xg	0.401936	0.33731	-0.08655	0.061324	0.084655	0.562022	0.047934	0.082459	0.080195	0.084723	12.127243	11.803182	12.469602	3.32373	3.300193	3.347268	3.344681	253	341.323529	302.40683	410.894077	18972	366	14	1058	3991	2805	0	340	139	993	375	0	719	2	1031	430	0	3	57	0	0	0	288	609	0	82	126	11	0	11	352	43	394	28	0	84	456	0	0	0	95	0	0	34	345	0	90	0	178	159	29	130	0	489	0	0	5	0	0	0	0	38	0	0	12	18	11	6	23	1	0	3	0	6	101	2	11	17	40	66	98	201	30	26	0	1	2	15	193	19	2	0	43	0	0	4	4	28	65	111	0	0	157	5	116	6	62	0	4	22	25	0	0	3	32	4	0	5	0	25	8	0	15	0	0	18	0	50	0	0	11	66	0	1	0	14	36	18	0	0	19	17	3	6	0	36	7	9	23	0	0	1	35	4	2	8	13	18	19	2	0	4	0	13	22	54	0	0	0	21	9	0	0	0	26	3	0	2	0	11	0	7	3	0	2	0	1	0	0	11	1
17751n08	17751n08	17751	chen_model	-8	xg	xg	0.28766	0.464043	0.116955	-0.02887	-0.198959	0.533525	0.070784	0.047091	0.046161	0.048022	21.235315	20.823835	21.663385	3.547454	3.526786	3.568121	3.578148	300	438.958333	385.801392	525.047845	17595	1029	9	534	1887	1268	0	753	314	990	532	2	1416	4	939	264	2	1	1055	0	4	0	802	616	0	15	43	31	0	557	274	22	281	278	0	95	276	0	0	0	431	0	188	69	103	1	46	0	33	123	10	156	0	193	0	0	0	0	0	0	0	113	0	0	5	29	4	2	5	2	0	7	0	24	220	0	4	11	36	21	17	51	23	7	0	0	30	8	80	10	0	0	12	0	0	0	3	7	56	68	0	0	40	1	18	3	17	0	111	42	6	0	0	2	10	4	0	0	0	3	1	0	2	16	0	0	1	14	0	3	10	9	0	1	6	2	9	6	3	0	7	9	19	5	2	69	3	7	9	0	1	0	25	0	1	2	6	4	0	0	0	9	0	12	10	27	0	0	0	0	23	0	0	0	30	36	0	1	0	1	1	0	8	0	2	0	0	0	0	1	1
17751p00	17751p00	17751	chen_model	0	xg	xg	-0.186879	-0.25736	0.160205	0.27709	0.336278	-0.456794	0.035658	0.539314	0.532381	0.546246	1.854208	1.830677	1.878352	0.987654	0.971532	1.003776	0.993066	52	77.5	60.049017	132.786266	23768	3181	16940	146	2740	63	0	78	20	22	80	0	0	1	5	26	0	0	0	0	0	0	5	0	0	0	0	1	0	2	31	1	2	1	2	0	0	0	0	0	0	0	0	5	3	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	5	207	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	1	0	0	0
17751p01	17751p01	17751	chen_model	1	xg	xg	0.274286	-0.307221	-0.154781	-0.110613	0.439298	0.019012	0.06978	0.223916	0.221436	0.226397	4.465951	4.417026	4.515972	1.755396	1.740265	1.770527	1.763533	64	118	84.109372	209.007016	19953	903	4428	6030	5270	81	0	33	2	0	3	0	1	12	57	2104	1	206	0	0	0	5	0	1	0	0	0	14	0	2	2	1	0	0	294	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	72	0	0	0	101	142	9	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	20	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
17751p04	17751p04	17751	chen_model	4	xg	xg	0.435814	0.080499	-0.249624	-0.10649	0.304424	0.398343	0.044931	0.100254	0.097635	0.102873	9.97465	9.720734	10.242186	3.114979	3.091933	3.138024	3.133959	222	279.972973	253.199528	329.72168	19696	522	102	3211	4743	483	0	250	401	819	1343	1	150	34	140	337	0	29	1	0	3	0	431	1	0	425	109	31	1	0	744	479	236	599	91	702	0	0	0	0	0	1	0	55	169	0	20	0	636	311	25	0	0	0	0	0	190	4	0	0	0	21	0	0	30	19	34	17	21	69	0	21	9	0	0	56	58	0	22	12	32	5	46	27	2	0	72	0	0	38	0	0	3	0	0	19	11	89	5	0	12	0	1	0	5	11	37	6	0	154	13	0	0	48	39	22	0	1	0	1	0	0	9	31	0	22	19	14	0	89	11	0	0	5	0	1	0	39	27	0	37	0	0	0	0	0	13	26	25	0	21	0	0	9	3	3	0	0	0	0	0	4	0	1	7	0	0	0	0	7	0	0	0	0	0	0	0	0	28	2	0	0	0	0	3	0	16	6	0	1	0
17751p07	17751p07	17751	chen_model	7	xg	xg	0.435366	0.287186	-0.12517	-0.033893	0.165174	0.548422	0.049455	0.063387	0.061829	0.064945	15.776125	15.3976	16.17373	3.555259	3.536046	3.574472	3.576565	319	450.1	399.968251	531.270981	26568	254	8	2061	4988	2091	1	94	690	1472	1842	0	736	13	281	334	0	11	0	1	53	0	852	0	0	270	696	71	0	2	562	916	164	369	202	411	0	0	0	0	0	0	15	90	289	0	365	0	719	340	401	0	1	0	0	0	287	0	0	0	0	11	0	1	50	28	108	25	47	367	0	11	85	0	0	11	146	0	40	149	187	279	160	35	34	0	111	38	0	84	1	0	66	0	0	80	38	129	122	0	0	0	9	0	9	15	117	12	0	84	65	0	0	52	103	13	0	61	0	7	2	0	36	1	0	38	38	12	0	23	50	10	0	52	0	65	26	33	37	0	87	71	0	2	7	0	21	36	40	0	73	0	0	5	19	49	3	3	0	0	0	14	0	16	5	2	0	6	0	16	0	0	0	0	8	0	0	0	19	2	0	4	0	0	16	0	42	0	0	12	10
17752cec	17752cec	17752	chen_model	28	xg	xg	0.431729	0.279775	-0.124043	-0.039623	0.170306	0.56794	0.063359	0.053684	0.051921	0.055447	18.627462	18.035235	19.259905	3.753322	3.730317	3.776327	3.777863	294	439.916667	380.704998	539.564547	17839	40	4	1326	3140	991	1	11	335	1022	886	0	389	8	95	335	0	3	0	0	65	1	451	1	0	213	673	66	0	26	487	258	170	317	155	276	0	0	0	0	0	0	44	71	219	0	89	0	282	205	425	0	0	0	0	0	162	0	0	0	0	0	0	0	41	4	126	18	49	131	0	9	512	39	0	8	99	18	15	108	15	155	189	21	96	2	102	86	7	18	1	0	129	0	0	36	98	51	2	0	0	0	31	0	26	16	20	45	81	46	64	0	0	38	90	11	0	302	0	11	15	0	15	0	0	20	33	7	0	9	24	3	0	36	1	189	21	35	41	0	41	60	31	6	5	0	0	21	6	0	24	0	0	0	89	22	5	58	0	0	0	131	0	60	2	6	0	5	0	15	0	0	0	0	31	0	0	0	6	2	0	6	0	0	3	0	29	1	0	2	20
17752n01	17752n01	17752	chen_model	-1	xg	xg	0.329047	-0.138645	-0.204526	-0.140564	0.304925	0.155352	0.052923	0.14762	0.144779	0.150461	6.77415	6.646257	6.907062	2.412549	2.392952	2.432147	2.429447	128	215	171.680452	301.281173	18621	1705	1755	4834	4276	725	1	256	1060	355	1063	0	188	1	249	191	2	1	0	0	1	0	216	0	0	0	0	1	1	21	570	147	158	7	0	2	0	1	1	1	0	1	0	70	28	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	62	0	0	0	65	110	18	0	3	0	0	0	0	0	0	14	0	0	0	0	0	0	18	0	0	0	0	0	7	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	5	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	58	0	0	0	0	2	0	0	0	37	0	0	0	0	0	0	0	9	0	34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	46	0	3	5	0	0	0
