seqID_comp	timepoint_comp	group_comp	seqID	timepoint	group	sharedsobs	braycurtis	spearman	thetayc	thetayc_lci	thetayc_hci	jsd	sharednseqs
17371n14	0	xanthan	17371n12	2	xanthan	102	0.654558	0.746402	0.422629	0.404713	0.440545	0.149669	38814
17371p00	14	xanthan	17371n14	0	xanthan	36	0.862407	0.396636	0.892925	0.889468	0.896382	0.465698	109293
17371p00	14	xanthan	17371n12	2	xanthan	27	0.914865	0.531322	0.730264	0.718789	0.741739	0.319142	84525
17371p01	15	xanthan	17371p00	14	xanthan	33	0.607064	0.902691	0.620352	0.61368	0.627024	0.236161	126331
17371p01	15	xanthan	17371n12	2	xanthan	31	0.852718	0.553607	0.863743	0.856861	0.870626	0.368948	55852
17371p01	15	xanthan	17371n14	0	xanthan	39	0.812255	0.383461	0.932421	0.93003	0.934812	0.468355	80620
17371p03	17	xanthan	17371n12	2	xanthan	56	0.869641	0.359563	0.802002	0.791166	0.812837	0.323684	70697
17371p03	17	xanthan	17371p00	14	xanthan	36	0.672551	0.681213	0.767847	0.763289	0.772404	0.335537	141176
17371p03	17	xanthan	17371p01	15	xanthan	43	0.365795	0.75385	0.394562	0.385641	0.403483	0.129884	112503
17371p03	17	xanthan	17371n14	0	xanthan	91	0.746797	0.188589	0.891204	0.887458	0.89495	0.404272	95465
17371p04	18	xanthan	17371p03	17	xanthan	97	0.230122	0.929202	0.171228	0.16341	0.179046	0.059222	140960
17371p04	18	xanthan	17371n14	0	xanthan	103	0.732648	0.234046	0.866574	0.862697	0.870451	0.365112	109077
17371p04	18	xanthan	17371p00	14	xanthan	35	0.67261	0.606676	0.76738	0.763179	0.77158	0.350109	154788
17371p04	18	xanthan	17371n12	2	xanthan	62	0.877925	0.381695	0.760748	0.749595	0.771901	0.29387	84309
17371p04	18	xanthan	17371p01	15	xanthan	43	0.483059	0.689018	0.587158	0.580232	0.594084	0.236179	126115
17371p06	20	xanthan	17371p00	14	xanthan	36	0.573117	0.662941	0.629194	0.623409	0.634978	0.254763	144597
17371p06	20	xanthan	17371p01	15	xanthan	42	0.509696	0.707739	0.653235	0.646823	0.659648	0.227117	115924
17371p06	20	xanthan	17371n12	2	xanthan	64	0.866429	0.381055	0.686677	0.67472	0.698633	0.247323	74118
17371p06	20	xanthan	17371n14	0	xanthan	107	0.709504	0.295702	0.859628	0.855738	0.863519	0.354075	98886
17371p06	20	xanthan	17371p04	18	xanthan	102	0.319827	0.906235	0.343258	0.335433	0.351082	0.09854	144381
17371p06	20	xanthan	17371p03	17	xanthan	92	0.365109	0.871285	0.473709	0.465077	0.482341	0.117299	130769
17371p07	21	xanthan	17371p01	15	xanthan	43	0.494005	0.708994	0.635894	0.628299	0.643489	0.244478	83823
17371p07	21	xanthan	17371n14	0	xanthan	103	0.685858	0.293001	0.900677	0.897252	0.904101	0.369027	66785
17371p07	21	xanthan	17371p04	18	xanthan	100	0.429783	0.871315	0.360214	0.351153	0.369274	0.109545	112280
17371p07	21	xanthan	17371p00	14	xanthan	36	0.6943	0.658325	0.656271	0.649542	0.663	0.297354	112496
17371p07	21	xanthan	17371p03	17	xanthan	91	0.414521	0.827824	0.460348	0.450694	0.470002	0.130589	98668
17371p07	21	xanthan	17371p06	20	xanthan	102	0.345747	0.934535	0.063823	0.057792	0.069854	0.027851	102089
17371p07	21	xanthan	17371n12	2	xanthan	60	0.75667	0.398393	0.783371	0.77321	0.793532	0.274287	42017
17371p09	23	xanthan	17371p06	20	xanthan	110	0.277765	0.905323	0.199329	0.191885	0.206774	0.080088	141544
17371p09	23	xanthan	17371n12	2	xanthan	70	0.870041	0.390686	0.718424	0.70753	0.729318	0.245359	81472
17371p09	23	xanthan	17371p07	21	xanthan	108	0.373902	0.909612	0.148489	0.140869	0.156109	0.055136	109443
17371p09	23	xanthan	17371p04	18	xanthan	110	0.361518	0.871432	0.391053	0.382898	0.399208	0.119276	151735
17371p09	23	xanthan	17371p03	17	xanthan	98	0.415724	0.798421	0.490162	0.481549	0.498775	0.168342	138123
17371p09	23	xanthan	17371n14	0	xanthan	122	0.69262	0.301552	0.848775	0.844749	0.852801	0.309605	106240
17371p09	23	xanthan	17371p01	15	xanthan	43	0.572949	0.637436	0.62719	0.620237	0.634143	0.278906	123278
17371p09	23	xanthan	17371p00	14	xanthan	37	0.604122	0.606973	0.627748	0.622087	0.633409	0.316038	151951
17371p10	24	xanthan	17371p01	15	xanthan	41	0.695164	0.545267	0.799114	0.794056	0.804171	0.378609	96898
17371p10	24	xanthan	17371p07	21	xanthan	106	0.467994	0.814238	0.549885	0.540559	0.559211	0.18318	83063
17371p10	24	xanthan	17371n12	2	xanthan	75	0.806142	0.434383	0.687219	0.674956	0.699481	0.271809	55092
17371p10	24	xanthan	17371p03	17	xanthan	96	0.620737	0.715865	0.713995	0.707366	0.720625	0.274969	111743
