OTU	Size	Taxonomy	taxname	phylum	family
Otu0001	1319889	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu1_Lactobacillus	Firmicutes	Lactobacillus
Otu0002	749457	Bacteria(100);Verrucomicrobia(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);Verrucomicrobiaceae_unclassified(100);	Otu2_Verrucomicrobiaceae_unclassified	Verrucomicrobia	Verrucomicrobiaceae_unclassified
Otu0003	589059	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia-Shigella(100);	Otu3_Escherichia-Shigella	Proteobacteria	Escherichia-Shigella
Otu0004	397480	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu4_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0005	392726	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu5_Bacteroides	Bacteroidetes	Bacteroides
Otu0006	296640	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu6_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0007	277540	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);	Otu7_Terrisporobacter	Firmicutes	Terrisporobacter
Otu0008	260831	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);	Otu8_Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu0009	249751	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu9_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0010	196872	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0010_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
