seqID	sampleID	patientID	timepoint	type	group	seqsuccess	cecum_result	group2	pcoa03_axis1	pcoa03_axis2	pcoa03_axis3	nmds03_axis1	nmds03_axis2	nmds03_axis3	simpsoneven_03	simpson_03	simpson_lci_03	simpson_hci_03	invsimpson_03	invsimpson_lci_03	invsimpson_hci_03	shannon_03	shannon_lci_03	shannon_hci_03	npshannon_03	sobs_03	chao_03	chao_lci_03	chao_hci_03	nseqs
17371n12	17371n12	17371	2	fecal	xanthan	good	feces	xanthan	0.047176	-0.007284	0.393633	0.207027	0.136189	-0.509562	0.209083	0.03766	0.03625	0.03907	26.55352	25.595219	27.586372	3.76724	3.740506	3.793974	3.779792	127	148.083333	134.661173	185.020744	7481
17371n14	17371n14	17371	0	fecal	xanthan	good	feces	xanthan	3.4e-05	-0.019439	0.569212	0.394362	-0.090624	-0.521541	0.150678	0.023959	0.023499	0.024419	41.73774	40.952085	42.55413	4.29048	4.27656	4.304399	4.297233	277	294.53125	284.470308	318.142175	32301
17371p00	17371p00	17371	14	fecal	xanthan	good	feces	xanthan	-0.106847	-0.153487	-0.080033	0.018614	-0.115211	0.442465	0.034916	0.143921	0.142831	0.145012	6.948241	6.895986	7.001294	2.248965	2.241263	2.256667	2.256721	199	284.153846	247.479344	348.572517	78062
17371p01	17371p01	17371	15	fecal	xanthan	good	feces	xanthan	-0.081712	0.190597	-0.121575	-0.153	0.355284	0.200662	0.047399	0.130232	0.128837	0.131627	7.678611	7.597224	7.76176	2.451242	2.440303	2.46218	2.459843	162	242	204.243594	313.502263	49131
17371p03	17371p03	17371	17	fecal	xanthan	good	feces	xanthan	0.193448	0.082888	-0.100353	-0.374603	0.260211	-0.002442	0.026669	0.100798	0.099433	0.102164	9.920783	9.788177	10.057032	2.987299	2.975438	2.999159	3.001538	372	511.041667	462.467462	585.696555	64470
17371p04	17371p04	17371	18	fecal	xanthan	good	feces	xanthan	0.262413	0.027979	-0.120123	-0.419917	0.142849	-0.007241	0.02734	0.067986	0.06725	0.068722	14.708994	14.551472	14.869963	3.354462	3.343597	3.365327	3.371269	538	757.356436	691.75853	850.940335	78526
17371p06	17371p06	17371	20	fecal	xanthan	good	feces	xanthan	0.260276	0.002982	-0.208453	-0.365041	-0.056448	0.181505	0.030559	0.078852	0.077926	0.079778	12.681991	12.534854	12.832623	3.173668	3.162044	3.185292	3.187519	415	562	511.282848	639.432497	67978
17371p07	17371p07	17371	21	fecal	xanthan	good	feces	xanthan	0.284363	0.018906	-0.267441	-0.404572	-0.06641	0.16386	0.038111	0.091107	0.089462	0.092752	10.976097	10.781427	11.177927	3.109337	3.093088	3.125587	3.126376	288	404.434783	358.255857	480.966952	35407
17371p09	17371p09	17371	23	fecal	xanthan	good	feces	xanthan	0.327445	0.015324	-0.172929	-0.367565	-0.116413	-0.019735	0.02966	0.060967	0.060036	0.061899	16.402242	16.15535	16.656797	3.56431	3.553194	3.575426	3.58086	553	700.520325	655.093743	766.159452	75696
17371p10	17371p10	17371	24	fecal	xanthan	good	feces	xanthan	0.234709	-0.007061	-0.062328	-0.165764	-0.46278	0.015746	0.073041	0.034227	0.033737	0.034718	29.216482	28.803686	29.641282	3.919435	3.907393	3.931477	3.933543	400	623.826087	542.961124	750.431752	48987
17372n12	17372n12	17372	2	fecal	xanthan	good	feces	xanthan	0.22487	0.001955	0.302103	-0.046077	-0.019652	-0.437395	0.070612	0.029689	0.029278	0.030101	33.681954	33.221953	34.154873	4.046021	4.03378	4.058263	4.063756	477	678.452055	612.451373	776.612542	48482
17372n14	17372n14	17372	0	fecal	xanthan	good	feces	xanthan	0.064366	-0.038691	0.533657	0.28365	-0.130942	-0.475744	0.081083	0.026928	0.026621	0.027235	37.136096	36.717096	37.564769	4.145207	4.134893	4.15552	4.155013	458	573.098361	530.06917	641.818306	67810
17372p00	17372p00	17372	14	fecal	xanthan	good	feces	xanthan	-0.103637	-0.188291	-0.083593	0.039631	-0.077952	0.38408	0.026744	0.123	0.121713	0.124287	8.130078	8.045896	8.21604	2.543869	2.534899	2.55284	2.55584	304	471.5	410.858796	566.554428	75143
17372p01	17372p01	17372	15	fecal	xanthan	good	feces	xanthan	0.053771	0.045278	-0.107361	-0.178608	0.225417	0.087594	0.043985	0.093946	0.092722	0.09517	10.644389	10.507489	10.784902	2.909858	2.896983	2.922732	2.922353	242	344.097561	301.75665	416.439363	44932
17372p01r	17372p01r	17372	15	fecal	xanthan	good	feces	xanthan	0.057499	0.012438	-0.121289	-0.164532	0.183925	0.116765	0.029904	0.091119	0.090227	0.092011	10.974654	10.86831	11.0831	2.929486	2.91943	2.939543	2.94146	367	598.122449	516.287117	724.817792	77045
17372p03	17372p03	17372	17	fecal	xanthan	good	feces	xanthan	0.295654	-0.005851	-0.182093	-0.327943	-0.066212	0.040274	0.042689	0.066738	0.065628	0.067848	14.983966	14.738825	15.2374	3.346071	3.332705	3.359436	3.362289	351	511.660377	452.874807	604.367419	44965
17372p04	17372p04	17372	18	fecal	xanthan	good	feces	xanthan	0.304118	0.007099	-0.189806	-0.354584	-0.1038	0.08216	0.040066	0.064661	0.063542	0.065779	15.465367	15.202483	15.737502	3.402972	3.388743	3.417201	3.421409	386	545.85	488.973374	634.142035	42537
17372p06	17372p06	17372	20	fecal	xanthan	good	feces	xanthan	0.315398	0.005139	-0.144432	-0.341103	-0.105909	0.005416	0.039412	0.055278	0.054405	0.056151	18.090278	17.809084	18.380495	3.566928	3.553915	3.579942	3.58397	459	570.06383	531.872984	628.269511	53961
17372p08	17372p08	17372	22	fecal	xanthan	good	feces	xanthan	0.275268	0.013401	-0.279738	-0.420673	-0.041662	0.168791	0.036464	0.111481	0.10982	0.113143	8.970114	8.838401	9.105812	2.99611	2.983862	3.008359	3.001896	246	310.166667	278.480441	372.764322	66536
17372p10c	17372p10c	17372	24	fecal	xanthan	good	cecum	xanthan	0.258619	-0.018311	-0.018113	-0.179386	-0.367723	-0.146511	0.067812	0.03098	0.030401	0.03156	32.278639	31.685786	32.8941	4.106923	4.094208	4.119638	4.12373	476	569.247423	536.282799	620.23819	47890
17373n12	17373n12	17373	2	fecal	xanthan	good	feces	xanthan	0.213261	-0.049681	0.241311	-0.01088	-0.118565	-0.300064	0.073475	0.026123	0.025742	0.026504	38.280602	37.729989	38.847525	4.217664	4.205701	4.229627	4.233913	521	690.189873	634.192844	773.888896	51897
17373p00	17373p00	17373	14	fecal	xanthan	good	feces	xanthan	0.166695	-0.094271	-0.192918	-0.158879	-0.155617	0.186669	0.04087	0.065422	0.064343	0.066501	15.285281	15.037267	15.541612	3.387407	3.371801	3.403013	3.407347	374	521.873016	469.192692	603.707013	37973
17373p03	17373p03	17373	17	fecal	xanthan	good	feces	xanthan	0.297059	-0.015858	-0.15678	-0.309384	-0.137134	0.071551	0.038799	0.058049	0.057061	0.059037	17.226731	16.938445	17.525001	3.54904	3.53503	3.563051	3.567753	444	595.083333	543.036903	674.481497	45466
17373p04	17373p04	17373	18	fecal	xanthan	good	feces	xanthan	0.23014	-0.02156	-0.225341	-0.336833	-0.109805	0.23706	0.028147	0.07417	0.07329	0.075051	13.482508	13.324336	13.64448	3.254873	3.243739	3.266006	3.269428	479	654.182927	597.032165	739.005889	74450
17373p06	17373p06	17373	20	fecal	xanthan	good	feces	xanthan	0.315498	-0.00226	-0.060958	-0.263006	-0.253359	-0.111799	0.054043	0.034651	0.033935	0.035367	28.858957	28.274606	29.467971	4.070207	4.056554	4.083859	4.092808	534	784.835294	708.357386	894.858501	43760
17373p07	17373p07	17373	21	fecal	xanthan	good	feces	xanthan	0.243374	-0.008634	-0.212097	-0.348787	-0.116385	0.228815	0.031923	0.075301	0.074244	0.076358	13.280031	13.096145	13.469154	3.243643	3.230648	3.256639	3.260938	416	532.701149	492.309066	594.473659	53857
17373p08	17373p08	17373	22	fecal	xanthan	good	feces	xanthan	0.263225	-0.001436	-0.137986	-0.305481	-0.167699	0.190295	0.052042	0.06139	0.060693	0.062087	16.28926	16.106375	16.476346	3.328594	3.318156	3.339031	3.336601	313	429.277778	380.60427	512.995083	68331
17373p09	17373p09	17373	23	fecal	xanthan	good	feces	xanthan	0.232714	-0.00505	-0.295778	-0.362043	-0.068499	0.223462	0.025065	0.100243	0.098822	0.101665	9.975749	9.836262	10.11925	3.087614	3.074629	3.1006	3.100785	398	503	464.024316	564.983932	62018
17373p10c	17373p10c	17373	24	fecal	xanthan	good	cecum	xanthan	0.264479	-0.00275	0.047177	-0.199418	-0.328803	-0.257278	0.082932	0.024862	0.024317	0.025407	40.22199	39.359247	41.123403	4.332596	4.319031	4.34616	4.352316	485	648.037975	593.73756	729.454457	38458
17381n03	17381n03	17381	-3	fecal	standard_cdiff	good	feces	standard_cdiff	-0.615933	0.062418	-0.064842	0.41636	0.332511	0.426165	0.031969	0.355457	0.354384	0.35653	2.813279	2.804811	2.821798	1.093192	1.089673	1.096711	1.096235	88	158.3	117.745744	254.144443	99194
17381n12	17381n12	17381	2	fecal	standard_cdiff	good	feces	standard_cdiff	-0.144719	0.287955	-0.068339	-0.20155	0.562712	0.137198	0.046186	0.237932	0.236151	0.239712	4.202888	4.171667	4.23458	1.656274	1.649836	1.662712	1.660095	91	130.375	108.107043	181.62879	73596
17381n14	17381n14	17381	0	fecal	standard_cdiff	good	feces	standard_cdiff	-0.212187	0.269123	-0.082347	-0.119477	0.526392	0.199558	0.053535	0.212264	0.210844	0.213684	4.711113	4.679807	4.74284	1.719222	1.712508	1.725936	1.723698	88	162.1	119.561945	261.969314	60100
17381p00	17381p00	17381	14	fecal	standard_cdiff	good	feces	standard_cdiff	-0.55967	-0.409221	-0.063067	0.590182	-0.17314	0.363577	0.013442	0.978839	0.977044	0.980634	1.021618	1.019748	1.023495	0.095558	0.088153	0.102962	0.100918	76	97.9375	84.576804	132.111097	48592
17381p01	17381p01	17381	15	fecal	standard_cdiff	good	feces	standard_cdiff	-0.578939	-0.368036	-0.06164	0.502123	-0.074012	0.48605	0.025715	0.532699	0.530625	0.534773	1.877231	1.869951	1.884568	0.698019	0.693332	0.702706	0.701386	73	96	81.504993	135.19876	64994
17381p03	17381p03	17381	17	fecal	standard_cdiff	good	feces	standard_cdiff	-0.606731	0.101778	-0.063059	0.397296	0.362092	0.429567	0.058148	0.365906	0.364107	0.367705	2.732943	2.719573	2.746445	1.067366	1.063072	1.07166	1.071156	47	122.6	73.862005	259.76744	52419
17381p06	17381p06	17381	20	fecal	standard_cdiff	good	feces	standard_cdiff	-0.626885	0.271404	-0.044557	0.447197	0.479068	0.182513	0.075324	0.295023	0.293572	0.296473	3.389571	3.372985	3.406322	1.313143	1.306748	1.319537	1.317301	45	153.75	82.93834	356.731155	46447
