mouse_id,cage,experiment,model,mouse_source,group,p01,p02,p03,p04,p06,p07,p08,p09,p10,p11,p14,p15
Y-UM-WT-1738-1,,cef_model_201711,cefoperazone,younglab,std_630,9.36E+06,3.40E+07,2.40E+07,NA,NA,1.82E+07,5.50E+07,2.06E+07,5.00E+06,na,na,na
Y-UM-WT-1738-2,,cef_model_201711,cefoperazone,younglab,std_630,1.16E+06,1.60E+07,4.00E+07,6.20E+06,NA,6.80E+07,2.08E+07,3.46E+07,3.60E+06,na,na,na
Y-UM-WT-1738-3,,cef_model_201711,cefoperazone,younglab,std_630,1.60E+05,NA,NA,3.82E+07,8.30E+07,2.24E+07,7.70E+07,NA,4.60E+06,na,na,na
Y-UM-WT-1738-4,,cef_model_201711,cefoperazone,younglab,std_630,8.00E+04,3.20E+07,6.00E+06,1.70E+07,NA,NA,NA,NA,NA,na,na,na
Y-UM-WT-1739-1,,cef_model_201711,cefoperazone,younglab,std_630,4.00E+04,3.80E+07,2.00E+06,5.33E+06,NA,NA,NA,NA,NA,na,na,na
Y-UM-WT-1739-2,,cef_model_201711,cefoperazone,younglab,std_630,NA,5.80E+07,NA,1.16E+07,NA,NA,NA,NA,NA,na,na,na
Y-UM-WT-1737-1,,cef_model_201711,cefoperazone,younglab,xan_neg,0,0,0,0,0,0,0,0,0,na,na,na
Y-UM-WT-1737-2,,cef_model_201711,cefoperazone,younglab,xan_neg,0,0,0,0,0,0,0,0,0,na,na,na
Y-UM-WT-1737-3,,cef_model_201711,cefoperazone,younglab,xan_neg,0,0,0,0,0,0,0,0,0,na,na,na
Y-UM-WT-1740-1,,cef_model_201711,cefoperazone,younglab,xan_neg,0,0,0,0,NA,NA,NA,NA,NA,na,na,na
Y-UM-WT-1740-2,,cef_model_201711,cefoperazone,younglab,xan_neg,0,0,0,0,NA,NA,NA,NA,NA,na,na,na
Y-UM-WT-1740-3,,cef_model_201711,cefoperazone,younglab,xan_neg,0,0,0,0,NA,NA,NA,NA,NA,na,na,na
Y-UM-WT-1743-1,,cef_model_201711,cefoperazone,younglab,xan_630,0,0,0,0,NA,NA,NA,NA,NA,na,na,na
Y-UM-WT-1743-2,,cef_model_201711,cefoperazone,younglab,xan_630,0,0,0,0,NA,NA,NA,NA,NA,na,na,na
