Data Filename,compound,Sample ID,Sample Name,Ret. Time,Area,Relative Retention Time,Peak Start,Peak End,Height,Std. Conc.,Conc.,T.Plate#,Width(5%),Width(50%)
20190517_000.lcd,sialic_acid,BLANK,No injection,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_001.lcd,sialic_acid,STD-0111,40 mM Mix,9.632,107456,0.629,9.05,10.908,4173,-----,32.56735,6137.738,0,0.282
20190517_002.lcd,sialic_acid,STD-0112,20 mM Mix,9.632,50885,0.628,9.125,10.817,2423,-----,15.42196,6558.917,0.924,0.272
20190517_003.lcd,sialic_acid,STD-0113,10 mM Mix,9.632,27351,0.627,9.158,10.625,1292,-----,8.2894,6101.164,0.889,0.284
20190517_004.lcd,sialic_acid,STD-0114,5 mM Mix,9.629,14589,0.627,9.217,10.392,712,-----,4.42171,5987.518,0.824,0.286
20190517_005.lcd,sialic_acid,STD-0115,2.5 mM Mix,9.625,7599,0.627,9.3,10.2,393,-----,2.30319,6344.004,0.744,0.279
20190517_006.lcd,sialic_acid,STD-0116,1 mM Mix,9.625,2342,0.626,9.358,9.942,149,-----,0.70973,7825.849,0.503,0.254
20190517_007.lcd,sialic_acid,STD-0117,0.5 mM Mix,9.625,1078,0.627,9.408,9.95,71,-----,0.32686,9192.84,0.475,0.244
20190517_008.lcd,sialic_acid,STD-0118,0.25 mM Mix,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_009.lcd,sialic_acid,STD-0119,0.1 mM Mix,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_010.lcd,sialic_acid,BLANK,Water,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_011.lcd,sialic_acid,A1,A1,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_012.lcd,sialic_acid,B1,B1,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_013.lcd,sialic_acid,C1,C1,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_014.lcd,sialic_acid,E1,E1,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_015.lcd,sialic_acid,F1,F1,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_016.lcd,sialic_acid,A2,A2,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_017.lcd,sialic_acid,B2,B2,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_018.lcd,sialic_acid,C2,C2,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_019.lcd,sialic_acid,D2,D2,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_020.lcd,sialic_acid,E2,E2,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_021.lcd,sialic_acid,A3,A3,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_022.lcd,sialic_acid,B3,B3,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_023.lcd,sialic_acid,C3,C3,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_024.lcd,sialic_acid,D3,D3,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_025.lcd,sialic_acid,E3,E3,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_026.lcd,sialic_acid,A4,A4,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_027.lcd,sialic_acid,B4,B4,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_028.lcd,sialic_acid,D4,D4,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_029.lcd,sialic_acid,E4,E4,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_030.lcd,sialic_acid,F4,F4,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_031.lcd,sialic_acid,A5,A5,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_032.lcd,sialic_acid,B5,B5,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_033.lcd,sialic_acid,D5,D5,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_034.lcd,sialic_acid,E5,E5,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_035.lcd,sialic_acid,A6,A6,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_036.lcd,sialic_acid,B6,B6,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_037.lcd,sialic_acid,C6,C6,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_038.lcd,sialic_acid,D6,D6,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_039.lcd,sialic_acid,E6,E6,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_040.lcd,sialic_acid,A7,A7,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_041.lcd,sialic_acid,B7,B7,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_042.lcd,sialic_acid,C7,C7,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_043.lcd,sialic_acid,D7,D7,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
20190517_044.lcd,sialic_acid,E7,E7,-----,-----,,-----,-----,-----,-----,-----,-----,-----,-----
