sampleID	patientID	experiment	Time	group	pcoa03_axis1	pcoa03_axis2	pcoa03_axis3	nmds03_axis1	nmds03_axis2	nmds03_axis3	simpsoneven_03	simpson_03	simpson_lci_03	simpson_hci_03	invsimpson_03	invsimpson_lci_03	invsimpson_hci_03	shannon_03	shannon_lci_03	shannon_hci_03	npshannon_03	sobs_03	chao_03	chao_lci_03	chao_hci_03	nseqs	Otu0001	Otu0002	Otu0003	Otu0004	Otu0005	Otu0006	Otu0007	Otu0008	Otu0009	Otu0010	Otu0011	Otu0012	Otu0013	Otu0014	Otu0015	Otu0016	Otu0017	Otu0018	Otu0019	Otu0020	Otu0021	Otu0022	Otu0023	Otu0024	Otu0025	Otu0026	Otu0027	Otu0028	Otu0029	Otu0030	Otu0031	Otu0032	Otu0033	Otu0034	Otu0035	Otu0036	Otu0037	Otu0038	Otu0039	Otu0040	Otu0041	Otu0042	Otu0043	Otu0044	Otu0045	Otu0046	Otu0047	Otu0048	Otu0049	Otu0050	Otu0051	Otu0052	Otu0053	Otu0054	Otu0055	Otu0056	Otu0057	Otu0058	Otu0059	Otu0060	Otu0061	Otu0062	Otu0063	Otu0064	Otu0065	Otu0066	Otu0067	Otu0068	Otu0069	Otu0070	Otu0071	Otu0072	Otu0073	Otu0074	Otu0075	Otu0076	Otu0077	Otu0078	Otu0079	Otu0080	Otu0081	Otu0082	Otu0083	Otu0084	Otu0085	Otu0086	Otu0087	Otu0088	Otu0089	Otu0090	Otu0091	Otu0092	Otu0093	Otu0094	Otu0095	Otu0096	Otu0097	Otu0098	Otu0099	Otu0100	Otu0101	Otu0102	Otu0103	Otu0104	Otu0105	Otu0106	Otu0107	Otu0108	Otu0109	Otu0110	Otu0111	Otu0112	Otu0113	Otu0114	Otu0115	Otu0116	Otu0117	Otu0118	Otu0119	Otu0120	Otu0121	Otu0122	Otu0123	Otu0124	Otu0125	Otu0126	Otu0127	Otu0128	Otu0129	Otu0130	Otu0131	Otu0132	Otu0133	Otu0134	Otu0135	Otu0136	Otu0137	Otu0138	Otu0139	Otu0140	Otu0141	Otu0142	Otu0143	Otu0144	Otu0145	Otu0146	Otu0147	Otu0148	Otu0149	Otu0150	Otu0151	Otu0152	Otu0153	Otu0154	Otu0155	Otu0156	Otu0157	Otu0158	Otu0159	Otu0160	Otu0161	Otu0162	Otu0163	Otu0164	Otu0165	Otu0166	Otu0167	Otu0168	Otu0169	Otu0170	Otu0171	Otu0172	Otu0173	Otu0174	Otu0175	Otu0176	Otu0177	Otu0178	Otu0179	Otu0180	Otu0181	Otu0182	Otu0183	Otu0184	Otu0185	Otu0186	Otu0187	Otu0188	Otu0189	Otu0190	Bifidobacteriaceae	Coriobacteriaceae	Actinobacteria_unclassified	Corynebacteriaceae	Microbacteriaceae	Actinobacteria_unclassified.1	Actinomycetaceae	Brevibacteriaceae	Cellulomonadaceae	Pseudonocardiaceae	Micrococcales_unclassified	Streptomycetaceae	Corynebacteriales_unclassified	Micrococcaceae	Nocardiaceae	Micromonosporaceae	Bacteria_unclassified	Bacteroidaceae	Bacteroidales_S24.7_group	Bacteroidales_unclassified	Rikenellaceae	Porphyromonadaceae	Bacteroidetes_unclassified	Prevotellaceae	Flavobacteriaceae	Cytophagaceae	Sphingobacteriaceae	Chloroplast_fa	Obscuribacterales_fa	Methanobacteriaceae	Lactobacillaceae	Lachnospiraceae	Erysipelotrichaceae	Peptostreptococcaceae	Ruminococcaceae	Family_XIII	Enterococcaceae	Paenibacillaceae	Clostridiales_unclassified	Staphylococcaceae	Firmicutes_unclassified	Bacillaceae	Listeriaceae	Lactobacillales_unclassified	Streptococcaceae	Clostridia_unclassified	Bacilli_unclassified	Family_XI	Clostridiaceae_1	Bacillales_unclassified	Christensenellaceae	Veillonellaceae	Leuconostocaceae	Acidaminococcaceae	Thermoactinomycetaceae	Planococcaceae	Eubacteriaceae	Aerococcaceae	Carnobacteriaceae	Peptococcaceae	Fusobacteriaceae	Enterobacteriaceae	Pseudomonadaceae	Mitochondria	Oxalobacteraceae	Comamonadaceae	Xanthomonadaceae	Gammaproteobacteria_unclassified	Desulfovibrionaceae	Campylobacteraceae	Moraxellaceae	Hyphomicrobiaceae	Campylobacterales_unclassified	Brucellaceae	Phyllobacteriaceae	Rhizobiaceae	Halomonadaceae	Bradyrhizobiaceae	Rhizobiales_unclassified	Rhodobacteraceae	Betaproteobacteria_unclassified	Alcaligenaceae	Burkholderiaceae	Burkholderiales_unclassified	Alphaproteobacteria_unclassified	Caulobacteraceae	Methylobacteriaceae	Nevskiaceae	Unknown_Family	Synergistaceae	Mollicutes_unclassified	Mollicutes_RF9_fa	Mycoplasmataceae	unknown_unclassified	Verrucomicrobiaceae	Verrucomicrobiales_unclassified	Verrucomicrobia_unclassified
17751cec	17751	chen_model	28	xg	0.354938	0.361989	-0.077945	0.165917	0.099645	0.625301	0.077385	0.051279	0.04973	0.052828	19.501038	18.929181	20.108524	3.805399	3.784919	3.82588	3.819932	252	410.333333	335.576689	551.957379	21162	0.004869582	0.000289282	0.0183212	0.168362181	0.103370136	0	0.001349983	0.010365942	0.0377031	0.026517526	0	0.01152307	0.000771419	0.005641001	0.008582036	0	0.000192855	0	0	0.005689215	0	0.01335519	0	0	0.016585507	0.037028109	0.006653488	0	0.001060701	0.018369413	0.028590714	0.004001736	0.004049949	0.006894557	0.00641242	0	0	0	0	4.82E-05	0	0.006508847	0.003133889	0.006460634	0	0.009305241	0	0.030856757	0.012294489	0.016151584	0	0	0	0	0	0.010703438	0	0	0	0	0.000241068	0	0.000144641	0.005930283	0.001205342	0.002651753	0.001398197	0.003567813	0.011185574	0	9.64E-05	0.057711779	0.000771419	0	0.000433923	0.006315992	0.001108915	0.000337496	0.010799865	0.002989248	0.013548045	0.007183839	0.000867846	0.025842534	4.82E-05	0.003712454	0.006701702	0.000192855	0.00183212	0.000144641	0	0.00824454	0	0	0.00236247	0.013644472	0.006267779	0.007376694	0	0	0	0.008678463	0	0.00327853	0	0.001976761	0.001687479	0.000337496	0.002941035	0.001639265	0	0	0.001976761	0.003085676	0.000192855	0	0.031821031	0	0.003953522	0.000241068	0	0.002169616	0	0	0.003905308	0.000771419	0.001880334	0	0.000385709	0.004483873	0.004049949	0	0.004483873	4.82E-05	0.014849814	0.003085676	0.001398197	0.002024975	0	0.002121402	0.013306977	0.003712454	0.000192855	0.002073188	0	0.000385709	0.000964274	4.82E-05	0	0.001157128	0	0	0.00236247	0.00144641	0.001349983	0.001108915	0.002796394	0	0.000144641	0	0.001108915	0	0.004821368	0.000723205	0.000192855	0	0.000241068	0	0.001157128	0	0	0	0	0.001735693	0	0	0	0.000192855	0.000626778	0	0.000241068	0	0	0.000578564	0	0.001542838	0	0	0.000241068	0.001205342	0.5528778	0.033078159	0.014176354	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3298365	1.800396938	12.32870239	2.135903979	0.500897836	0	0	0	0	0	0	0	0	0	1.115206502	47.37737454	0.151214441	0	5.887912296	0.207919856	0	0	0.798601266	0.004725451	0.042529062	0	0	0	0.004725451	0.004725451	0	0	0	0	0.033078159	0	0	0	0	0	0	0	0	0	0	0.028352708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.93422172	0.614308666	0.099234477
17751n01	17751	chen_model	-1	xg	0.31103	-0.099432	-0.176937	-0.100671	0.280798	0.179408	0.078979	0.131891	0.129898	0.133884	7.581995	7.469128	7.698327	2.337451	2.323047	2.351855	2.349064	96	175.615385	132.430012	269.994162	21513	0.09844487	0.111707841	0.21398216	0.215149675	0.054032597	4.67E-05	0.045392986	0.074580862	0.020548265	0.081352449	0	0.003269042	0	0.024891421	0.004996964	0	0	0	0	0	0	0.002428431	4.67E-05	0	0	0	0	0	0	0.02405081	0	0.007799001	0	0	0	0	0	4.67E-05	0	0	0	0	0.003642647	0.001447719	4.67E-05	0	0	0	0	0	0	0	0	4.67E-05	0	0.000186802	0	0	0	0	0.001681222	0	0	0	0.001307617	0.002848737	0	0	0	0	0	4.67E-05	0	0	0	0.000186802	0	0	0	0	0	0	0.000887311	0	0	4.67E-05	0	0	0	0	0	0	0	0	0	4.67E-05	0	0	0	0	0	0	0	0	0.000513707	4.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002194928	0	0	0	0	0	0	0	0.000467006	0	0.000840611	0	0	0	0	0	0	0	9.34E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000186802	0	0	0	0	0	0.000186802	0	0	0.000140102	0	0.000140102	0	2.486752812	0.004648136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.494096867	21.36748164	19.74528214	2.798177931	0	0.004648136	0	0.004648136	0	0	0	0.004648136	0	0	9.821511574	0.395091568	4.536580831	0.004648136	0.330017663	0	0	0.004648136	0.199869852	0.004648136	0.013944408	0	0	0.004648136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.12763782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.47503951	0.994701125	0.176629172
17751n06	17751	chen_model	-6	xg	0.401936	0.33731	-0.08655	0.061324	0.084655	0.562022	0.047934	0.082459	0.080195	0.084723	12.127243	11.803182	12.469602	3.32373	3.300193	3.347268	3.344681	253	341.323529	302.40683	410.894077	18972	0.019600493	0.000749746	0.056659348	0.213731056	0.150216891	0	0.018208108	0.007443903	0.053178386	0.020082472	0	0.038504793	0.000107107	0.05521341	0.023027901	0	0.00016066	0.003052536	0	0	0	0.015423339	0.032613935	0	0.004391367	0.006747711	0.000589086	0	0.000589086	0.018850747	0.00230279	0.021099984	0.001499491	0	0.004498474	0.024420286	0	0	0	0.00508756	0	0	0.001820811	0.018475874	0	0.004819793	0	0.00953248	0.008514968	0.001553045	0.006961924	0	0.026187544	0	0	0.000267766	0	0	0	0	0.002035024	0	0	0.000642639	0.000963959	0.000589086	0.00032132	0.001231725	5.36E-05	0	0.00016066	0	0.00032132	0.005408879	0.000107107	0.000589086	0.000910405	0.00214213	0.003534515	0.005248219	0.010764205	0.001606598	0.001392385	0	5.36E-05	0.000107107	0.000803299	0.010335779	0.001017512	0.000107107	0	0.00230279	0	0	0.000214213	0.000214213	0.001499491	0.003480962	0.005944412	0	0	0.008407862	0.000267766	0.006212178	0.00032132	0.003320302	0	0.000214213	0.001178172	0.001338831	0	0	0.00016066	0.001713704	0.000214213	0	0.000267766	0	0.001338831	0.000428426	0	0.000803299	0	0	0.000963959	0	0.002677663	0	0	0.000589086	0.003534515	0	5.36E-05	0	0.000749746	0.001927917	0.000963959	0	0	0.001017512	0.000910405	0.00016066	0.00032132	0	0.001927917	0.000374873	0.000481979	0.001231725	0	0	5.36E-05	0.001874364	0.000214213	0.000107107	0.000428426	0.000696192	0.000963959	0.001017512	0.000107107	0	0.000214213	0	0.000696192	0.001178172	0.002891876	0	0	0	0.001124618	0.000481979	0	0	0	0.001392385	0.00016066	0	0.000107107	0	0.000589086	0	0.000374873	0.00016066	0	0.000107107	0	5.36E-05	0	0	0.000589086	5.36E-05	5.465373669	0.511225888	0.722040687	0	0	0	0	0	0	0	0	0	0	0	0	0	15.03636555	5.607673659	29.46136819	2.830188679	0.205544429	0	0.00527037	0	0	0	0	0	0	0	2.266259091	11.07304733	1.813007273	0.00527037	3.030462738	0.06324444	0	0	0.421629598	0.01581111	0.01581111	0	0	0	0	0.00527037	0	0.01054074	0	0	0.01054074	0	0	0	0	0	0	0	0	0	0	0.07378518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01054074	20.06429851	1.006640666	0.268788869
17751n08	17751	chen_model	-8	xg	0.28766	0.464043	0.116955	-0.02887	-0.198959	0.533525	0.070784	0.047091	0.046161	0.048022	21.235315	20.823835	21.663385	3.547454	3.526786	3.568121	3.578148	300	438.958333	385.801392	525.047845	17595	0.059923131	0.000524109	0.031097135	0.10988819	0.073841137	0	0.043850454	0.018285581	0.057651992	0.030980666	0.000116469	0.082459818	0.000232937	0.054682041	0.015373864	0.000116469	5.82E-05	0.061437223	0	0.000232937	0	0.046703937	0.03587235	0	0.000873515	0.002504076	0.001805264	0	0.032436525	0.015956208	0.001281155	0.016363848	0.016189145	0	0.005532262	0.016072676	0	0	0	0.025098998	0	0.010948055	0.004018169	0.005998137	5.82E-05	0.002678779	0	0.001921733	0.007162823	0.000582343	0.009084556	0	0.011239227	0	0	0	0	0	0	0	0.00658048	0	0	0.000291172	0.001688796	0.000232937	0.000116469	0.000291172	0.000116469	0	0.00040764	0	0.001397624	0.012811554	0	0.000232937	0.000640578	0.002096436	0.001222921	0.000989984	0.002969951	0.00133939	0.00040764	0	0	0.00174703	0.000465875	0.004658747	0.000582343	0	0	0.000698812	0	0	0	0.000174703	0.00040764	0.003261123	0.003959935	0	0	0.002329373	5.82E-05	0.001048218	0.000174703	0.000989984	0	0.006464011	0.002445842	0.000349406	0	0	0.000116469	0.000582343	0.000232937	0	0	0	0.000174703	5.82E-05	0	0.000116469	0.000931749	0	0	5.82E-05	0.000815281	0	0.000174703	0.000582343	0.000524109	0	5.82E-05	0.000349406	0.000116469	0.000524109	0.000349406	0.000174703	0	0.00040764	0.000524109	0.001106452	0.000291172	0.000116469	0.004018169	0.000174703	0.00040764	0.000524109	0	5.82E-05	0	0.001455858	0	5.82E-05	0.000116469	0.000349406	0.000232937	0	0	0	0.000524109	0	0.000698812	0.000582343	0.001572327	0	0	0	0	0.00133939	0	0	0	0.00174703	0.002096436	0	5.82E-05	0	5.82E-05	5.82E-05	0	0.000465875	0	0.000116469	0	0	0	0	5.82E-05	5.82E-05	5.381904978	0.670606956	0.949079336	0	0	0	0	0	0	0	0	0	0	0	0	0	8.462150489	3.08024551	35.87747215	4.915889975	4.77381223	0	0.068197318	0.017049329	0	0	0	0.00568311	0	0	13.00295522	4.756762901	4.324846556	0	1.847010684	0.068197318	0	0	0.812684701	0.01136622	0.017049329	0	0	0	0.028415549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.051147988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034098659	0	0	10.15571721	0.585360309	0.102295976
17751p00	17751	chen_model	0	xg	-0.186879	-0.25736	0.160205	0.27709	0.336278	-0.456794	0.035658	0.539314	0.532381	0.546246	1.854208	1.830677	1.878352	0.987654	0.971532	1.003776	0.993066	52	77.5	60.049017	132.786266	23768	0.134066675	0.713954567	0.006153327	0.115480255	0.002655203	0	0.003287394	0.000842922	0.000927214	0.003371686	0	0	4.21E-05	0.00021073	0.001095798	0	0	0	0	0	0	0.00021073	0	0	0	0	4.21E-05	0	8.43E-05	0.001306528	4.21E-05	8.43E-05	4.21E-05	8.43E-05	0	0	0	0	0	0	0	0	0.00021073	0.000126438	0	0	0	4.21E-05	0	0	0	0	0	0	0	0.000505753	0	0	0	0	8.43E-05	0	0	0	0.00021073	0.008724238	0	0	0	0	0	0	0	0	0	0.000800775	0	0	0	0	0	0	0.002528765	0	0	0	0	0	0	0	0	0	0	0	4.21E-05	0	0	0	0	0	0	0	0	0	0	0	4.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001011506	0	0	0	0	0	0	0	0.000590045	0	0	0	0.000168584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000885068	0	0	0	0	0	0	0	0	4.21E-05	0	0	0	0.021036688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281891619	0.618478627	0.677381353	0.151464153	0.012622013	0.004207338	0	0	0	0	0	0	0	0	13.40037025	0.256647593	0.328172333	0	1.026590374	0.008414675	0	0	0.071524739	0.012622013	0.004207338	0	0	0.004207338	0	0	0	0	0	0	0	0	0.004207338	0	0	0	0	0	0	0	0	71.27229889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.76657691	0.824638169	0.252440256
17751p01	17751	chen_model	1	xg	0.274286	-0.307221	-0.154781	-0.110613	0.439298	0.019012	0.06978	0.223916	0.221436	0.226397	4.465951	4.417026	4.515972	1.755396	1.740265	1.770527	1.763533	64	118	84.109372	209.007016	19953	0.04532905	0.222277998	0.302695648	0.264544953	0.004066061	0	0.001656543	0.000100397	0	0.000150595	0	5.02E-05	0.000602379	0.002861302	0.105617188	5.02E-05	0.010340846	0	0	0	0.000250991	0	5.02E-05	0	0	0	0.000702776	0	0.000100397	0.000100397	5.02E-05	0	0	0.014758295	0	0	0	0	0	0	0	0	0	5.02E-05	0	0	0	0.000250991	0	0	0	0	0	0	0	0.000200793	0	0	0	0	0.003614276	0	0	0	0.005070027	0.007128156	0.000451785	0	0	0	0	0	0	0	0	0.001154561	0	0	0	0	0	0	0.001204759	0	0	0	0	0	0	0	0	0	0	0	0.001003966	0	0	0	0	0.001003966	0	0	0	0	0.000401586	0	0	0	0	0	0	0	0	0	5.02E-05	0	0	0	0	0	0	5.02E-05	0	0	0	0.000351388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000702776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000853371	0	0	0	0	0	0	0	0	0	0	0	0	0.285671328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.420989325	30.27614895	10.49466246	0.110259109	0.010023555	0	0	0	0	0	0	0	0	0	4.625870796	2.310429509	1.202826643	0	0.862025761	0.06515311	0.025058888	0	0.456071769	0	0.010023555	0	0	0.005011778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.21721044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.96366461	1.533603969	0.125294442
17751p04	17751	chen_model	4	xg	0.435814	0.080499	-0.249624	-0.10649	0.304424	0.398343	0.044931	0.100254	0.097635	0.102873	9.97465	9.720734	10.242186	3.114979	3.091933	3.138024	3.133959	222	279.972973	253.199528	329.72168	19696	0.026912766	0.005258816	0.165549598	0.244534956	0.024902042	0	0.012889256	0.020674366	0.042225201	0.069241081	5.16E-05	0.007733553	0.001752939	0.007217983	0.017374716	0	0.001495154	5.16E-05	0	0.000154671	0	0.022221077	5.16E-05	0	0.021911734	0.005619715	0.001598268	5.16E-05	0	0.038358424	0.024695814	0.012167457	0.030882656	0.004691689	0.036193029	0	0	0	0	0	5.16E-05	0	0.002835636	0.008713137	0	0.00103114	0	0.032790266	0.016034234	0.001288926	0	0	0	0	0	0.009795834	0.000206228	0	0	0	0.001082697	0	0	0.001546711	0.000979583	0.001752939	0.000876469	0.001082697	0.003557435	0	0.001082697	0.000464013	0	0	0.002887193	0.002990307	0	0.001134254	0.000618684	0.001649825	0.000257785	0.002371623	0.00139204	0.000103114	0	0.003712106	0	0	0.001959167	0	0	0.000154671	0	0	0.000979583	0.000567127	0.004588575	0.000257785	0	0.000618684	0	5.16E-05	0	0.000257785	0.000567127	0.00190761	0.000309342	0	0.007939781	0.000670241	0	0	0.002474737	0.002010724	0.001134254	0	5.16E-05	0	5.16E-05	0	0	0.000464013	0.001598268	0	0.001134254	0.000979583	0.000721798	0	0.004588575	0.000567127	0	0	0.000257785	0	5.16E-05	0	0.002010724	0.00139204	0	0.00190761	0	0	0	0	0	0.000670241	0.001340483	0.001288926	0	0.001082697	0	0	0.000464013	0.000154671	0.000154671	0	0	0	0	0	0.000206228	0	5.16E-05	0.000360899	0	0	0	0	0.000360899	0	0	0	0	0	0	0	0	0.001443597	0.000103114	0	0	0	0	0.000154671	0	0.000824912	0.000309342	0	5.16E-05	0	0.710804224	0.111697807	0.005077173	0	0	0	0	0	0	0	0	0	0	0	0	0	2.528432169	16.41450041	23.57839155	4.087124289	3.041226645	0.005077173	0	0.005077173	0	0	0	0	0	0	2.726441917	14.26685621	1.436839968	0	5.107636068	0.299553209	0	0.005077173	0.517871649	0	0.157392364	0	0	0	0	0.020308692	0	0	0	0	0	0	0	0	0	0	0.005077173	0	0	0	0	0.538180341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.740658	1.411454102	0.279244517
17751p07	17751	chen_model	7	xg	0.435366	0.287186	-0.12517	-0.033893	0.165174	0.548422	0.049455	0.063387	0.061829	0.064945	15.776125	15.3976	16.17373	3.555259	3.536046	3.574472	3.576565	319	450.1	399.968251	531.270981	26568	0.009786923	0.00030825	0.079412785	0.192193581	0.08056872	3.85E-05	0.003621932	0.026586522	0.056717913	0.070974454	0	0.028358957	0.000500905	0.010827265	0.012869418	0	0.000423843	0	3.85E-05	0.002042153	0	0.032828575	0	0	0.010403422	0.026817709	0.002735715	0	7.71E-05	0.021654529	0.035294571	0.006319115	0.014218009	0.007783301	0.01583632	0	0	0	0	0	0	0.000577968	0.003467807	0.011135514	0	0.014063885	0	0.027703926	0.013100605	0.015451008	0	3.85E-05	0	0	0	0.011058452	0	0	0	0	0.000423843	0	3.85E-05	0.00192656	0.001078873	0.004161369	0.00096328	0.001810966	0.014140947	0	0.000423843	0.003275151	0	0	0.000423843	0.005625554	0	0.001541248	0.005741147	0.007205333	0.010750202	0.006164991	0.001348592	0.00131006	0	0.004276962	0.001464185	0	0.00323662	3.85E-05	0	0.002543059	0	0	0.003082495	0.001464185	0.004970524	0.004700805	0	0	0	0.000346781	0	0.000346781	0.000577968	0.004508149	0.000462374	0	0.00323662	0.002504527	0	0	0.002003622	0.003968713	0.000500905	0	0.002350403	0	0.000269718	7.71E-05	0	0.001387123	3.85E-05	0	0.001464185	0.001464185	0.000462374	0	0.000886217	0.00192656	0.000385312	0	0.002003622	0	0.002504527	0.001001811	0.001271529	0.001425654	0	0.003352214	0.002735715	0	7.71E-05	0.000269718	0	0.000809155	0.001387123	0.001541248	0	0.002812777	0	0	0.000192656	0.000732093	0.001888028	0.000115594	0.000115594	0	0	0	0.000539437	0	0.000616499	0.000192656	7.71E-05	0	0.000231187	0	0.000616499	0	0	0	0	0.00030825	0	0	0	0.000732093	7.71E-05	0	0.000154125	0	0	0.000616499	0	0.00161831	0	0	0.000462374	0.000385312	1.061427281	0.150557061	0.127973502	0	0	0	0	0	0	0	0	0	0	0	0	0	7.983288166	7.817675399	25.92592593	2.465371876	1.400180668	0	0	0	0	0	0	0	0	0	1.016260163	25.50813008	0.398976212	0.003763927	6.056157784	0.120445649	0	0	0.557061126	0	0.131737428	0	0	0	0.003763927	0.056458898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030111412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.85606745	1.016260163	0.312405902
17752cec	17752	chen_model	28	xg	0.431729	0.279775	-0.124043	-0.039623	0.170306	0.56794	0.063359	0.053684	0.051921	0.055447	18.627462	18.035235	19.259905	3.753322	3.730317	3.776327	3.777863	294	439.916667	380.704998	539.564547	17839	0.002306273	0.000230627	0.076452952	0.181042435	0.057137915	5.77E-05	0.000634225	0.019315037	0.058925277	0.051083948	0	0.022428506	0.000461255	0.005477399	0.019315037	0	0.00017297	0	0	0.003747694	5.77E-05	0.026003229	5.77E-05	0	0.012280904	0.038803044	0.003805351	0	0.001499077	0.028078875	0.014875461	0.009801661	0.018277214	0.008936808	0.015913284	0	0	0	0	0	0	0.0025369	0.004093635	0.012626845	0	0.005131458	0	0.016259225	0.011819649	0.024504151	0	0	0	0	0	0.009340406	0	0	0	0	0	0	0	0.00236393	0.000230627	0.00726476	0.001037823	0.002825185	0.007553044	0	0.000518911	0.029520295	0.002248616	0	0.000461255	0.005708026	0.001037823	0.000864852	0.006226937	0.000864852	0.008936808	0.01089714	0.001210793	0.005535055	0.000115314	0.005880996	0.004958487	0.000403598	0.001037823	5.77E-05	0	0.007437731	0	0	0.002075646	0.005650369	0.002940498	0.000115314	0	0	0	0.001787362	0	0.001499077	0.000922509	0.001153137	0.002594557	0.004670203	0.002652214	0.003690037	0	0	0.002190959	0.005189114	0.000634225	0	0.017412362	0	0.000634225	0.000864852	0	0.000864852	0	0	0.001153137	0.001902675	0.000403598	0	0.000518911	0.001383764	0.00017297	0	0.002075646	5.77E-05	0.01089714	0.001210793	0.002017989	0.00236393	0	0.00236393	0.00345941	0.001787362	0.000345941	0.000288284	0	0	0.001210793	0.000345941	0	0.001383764	0	0	0	0.005131458	0.00126845	0.000288284	0.003344096	0	0	0	0.007553044	0	0.00345941	0.000115314	0.000345941	0	0.000288284	0	0.000864852	0	0	0	0	0.001787362	0	0	0	0.000345941	0.000115314	0	0.000345941	0	0	0.00017297	0	0.001672048	5.77E-05	0	0.000115314	0.001153137	0.532541062	0.084085431	0.084085431	0	0	0	0	0	0	0	0	0	0	0	0	0	6.334435787	7.550871686	23.25242446	3.167217893	1.922753518	0	0	0	0	0	0	0	0	0	0.470878412	29.54201469	0.078479735	0.005605695	7.747071024	0.280284769	0.005605695	0	1.003419474	0	0.106508212	0	0	0	0.005605695	0.005605695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022422782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.98525702	0.622232188	0.190593643
17752n01	17752	chen_model	-1	xg	0.329047	-0.138645	-0.204526	-0.140564	0.304925	0.155352	0.052923	0.14762	0.144779	0.150461	6.77415	6.646257	6.907062	2.412549	2.392952	2.432147	2.429447	128	215	171.680452	301.281173	18621	0.09229187	0.094998376	0.261665043	0.231460431	0.039244343	5.41E-05	0.013857313	0.057377937	0.019216196	0.057540327	0	0.010176464	5.41E-05	0.013478402	0.010338855	0.00010826	5.41E-05	0	0	5.41E-05	0	0.011692108	0	0	0	0	5.41E-05	5.41E-05	0.001136733	0.030854173	0.007957129	0.00855256	0.000378911	0	0.00010826	0	5.41E-05	5.41E-05	5.41E-05	0	5.41E-05	0	0.003789109	0.001515644	0	0	0	0	0	0	0	0	0	0	0	0.003410198	0	0	0	0	0.003356068	0	0	0	0.003518458	0.005954314	0.000974342	0	0.00016239	0	0	0	0	0	0	0.000757822	0	0	0	0	0	0	0.000974342	0	0	0	0	0	0.000378911	0	0	0	0.00010826	0	0.00010826	0	0	0	0	0	0	0	0	0	0.000595431	0	0	0	0.00010826	0	0	0	0.000270651	5.41E-05	0.00016239	0	0	0	0	0	0	0	0	0	0	5.41E-05	0	0	0.003139547	0	0	0	0	0.00010826	0	0	0	0.002002815	0	0	0	0	0	0	0	0.000487171	0	0.001840424	0	5.41E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000216521	0	0	0	0	0	0.002489986	0	0.00016239	0.000270651	0	0	0	1.337199936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.963267279	26.04049192	17.64137264	3.522904248	0.150367864	0.005370281	0	0	0	0	0	0	0	0	9.204661404	2.276999087	1.390902744	0.005370281	1.014983084	0.021481123	0	0.010740562	0.547768648	0	0.107405617	0	0	0.010740562	0.005370281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.435583481	0.010740562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.84093228	1.17609151	0.279254605
