"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"1"	"Otu0002"	4.91507	"n12"	4.3075	5.67696	0.0372425	"Verrucomicrobia"	"Verrucomicrobiaceae_unclassified"	"Verrucomicrobiaceae_unclassified"
"2"	"Otu0009"	4.58551	"n12"	3.96631	4.74077	0.0135547	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"3"	"Otu0010"	4.87654	"n14"	4.2417	-4.20996	0.00119375	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"4"	"Otu0011"	4.7339	"n12"	4.12027	4.84873	0.00202823	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"5"	"Otu0013"	4.55616	"n12"	3.66582	3.77036	0.00202823	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"6"	"Otu0014"	4.41545	"n12"	3.96556	2.34963	0.000212829	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"7"	"Otu0015"	4.74393	"n14"	4.00379	-4.35023	0.00202823	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"8"	"Otu0016"	4.21144	"n12"	3.60389	3.65396	0.00202823	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"9"	"Otu0017"	4.52736	"n12"	4.08325	3.65416	0.000516932	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"10"	"Otu0018"	4.67649	"n14"	4.34761	-3.02585	0.000212829	"Bacteroidetes"	"Alistipes"	"Alistipes"
"11"	"Otu0023"	4.33278	"n14"	3.92013	-3.0574	0.000212829	"Bacteroidetes"	"Alistipes"	"Alistipes"
"12"	"Otu0024"	3.96151	"n12"	3.20625	2.67617	0.0135547	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"13"	"Otu0025"	4.29838	"n14"	3.66467	-2.67265	0.00156035	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_unclassified"
"14"	"Otu0026"	2.71706	"n12"	2.21861	2.22463	0.0401455	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"15"	"Otu0027"	3.98008	"n12"	3.48566	2.8692	0.00156035	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"16"	"Otu0028"	3.76603	"n12"	3.27595	3.78699	0.0108964	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"17"	"Otu0032"	3.3094	"n12"	2.86433	2.91549	0.0206376	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"18"	"Otu0034"	4.63893	"n14"	4.2933	-3.42243	0.00262182	"Firmicutes"	"Lactobacillus"	"Lactobacillus"
"19"	"Otu0035"	4.109	"n14"	3.47727	-2.93152	0.0135547	"Actinobacteria"	"Coriobacteriaceae_unclassified"	"Coriobacteriaceae_unclassified"
"20"	"Otu0036"	4.0417	"n12"	3.60949	2.86368	0.000516932	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"21"	"Otu0037"	4.2615	"n12"	3.83248	2.14737	0.000908198	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"22"	"Otu0038"	4.0384	"n14"	3.28374	-2.80616	0.0167705	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"23"	"Otu0043"	3.82142	"n14"	3.18807	-3.21069	0.00337043	"Firmicutes"	"Lachnoclostridium"	"Lachnoclostridium"
"24"	"Otu0044"	3.63851	"n12"	3.147	2.73473	0.00547855	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"25"	"Otu0055"	3.22575	"n12"	2.7598	3.41657	0.00871191	"Firmicutes"	"Caproiciproducens"	"Caproiciproducens"
"26"	"Otu0068"	3.37922	"n14"	2.84856	-3.16512	0.00546097	"Tenericutes"	"Mollicutes_unclassified"	"Mollicutes_unclassified"
"27"	"Otu0072"	3.91693	"n14"	3.37888	-2.10557	0.00262182	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_unclassified"
"28"	"Otu0077"	3.91331	"n12"	3.54021	3.0063	0.00262182	"Firmicutes"	"Tyzzerella"	"Tyzzerella"
"29"	"Otu0079"	3.81414	"n12"	3.33611	2.89111	0.0448623	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"30"	"Otu0087"	3.99966	"n14"	3.67032	-2.88658	0.000208193	"Bacteria_unclassified"	"Other"	"Bacteria_unclassified"
"31"	"Otu0095"	3.579	"n12"	3.06174	3.39149	0.000908198	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"32"	"Otu0101"	3.27311	"n14"	2.69369	-3.26848	0.000687104	"Firmicutes"	"Syntrophococcus"	"Syntrophococcus"
"33"	"Otu0105"	3.98375	"n14"	3.69675	-3.28319	0.000468361	"Firmicutes"	"Lactobacillus"	"Lactobacillus"
"34"	"Otu0106"	3.30987	"n12"	2.81508	3.12631	0.0448623	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"35"	"Otu0109"	3.43243	"n12"	2.99135	2.53983	0.0108964	"Firmicutes"	"Fusicatenibacter"	"Fusicatenibacter"
"36"	"Otu0110"	2.85131	"n14"	2.42388	-2.03406	0.00861134	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"37"	"Otu0111"	3.23751	"n12"	2.67415	2.65378	0.00202823	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"38"	"Otu0113"	3.81303	"n12"	3.32314	3.11511	0.0252603	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"39"	"Otu0116"	3.07679	"n12"	2.55582	2.2581	0.00337043	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
