"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"1"	"Otu0002"	5.14585	"p00"	4.43091	5.67696	0.00194117	"Verrucomicrobia"	"Verrucomicrobiaceae_unclassified"	"Verrucomicrobiaceae_unclassified"
"2"	"Otu0010"	4.57903	"n12"	3.91993	-4.74077	0.00457775	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"3"	"Otu0011"	4.7339	"n12"	4.11798	-4.20996	0.00194117	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"4"	"Otu0013"	4.55616	"n12"	3.8536	-4.84873	0.0249682	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"5"	"Otu0015"	4.55677	"n12"	4.1074	-3.77036	0.000170956	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"6"	"Otu0016"	4.48108	"p00"	3.84763	2.34963	0.00835142	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"7"	"Otu0017"	4.52736	"n12"	3.95691	-4.35023	0.0146711	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"8"	"Otu0018"	3.48945	"n12"	2.8904	-3.65396	0.00670553	"Bacteroidetes"	"Alistipes"	"Alistipes"
"9"	"Otu0022"	4.26004	"n12"	3.70354	-3.65416	0.000369931	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"10"	"Otu0023"	3.69084	"n12"	3.13484	-3.02585	0.0295127	"Bacteroidetes"	"Alistipes"	"Alistipes"
"11"	"Otu0029"	4.66059	"n12"	4.37881	-3.0574	0.000383312	"Firmicutes"	"Turicibacter"	"Turicibacter"
"12"	"Otu0033"	4.02072	"n12"	3.41146	-2.67617	0.0476609	"Firmicutes"	"Ruminococcus"	"Ruminococcus"
"13"	"Otu0034"	3.91187	"n12"	3.55599	-2.67265	4.17566e-05	"Firmicutes"	"Lactobacillus"	"Lactobacillus"
"14"	"Otu0037"	4.2615	"n12"	3.87537	-2.22463	0.00367774	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"15"	"Otu0038"	3.81566	"n12"	3.41879	-2.8692	0.000131087	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"16"	"Otu0039"	3.92793	"n12"	3.53579	-3.78699	0.000100102	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"17"	"Otu0040"	4.14885	"n12"	3.81416	-2.91549	5.04391e-05	"Actinobacteria"	"Bifidobacterium"	"Bifidobacterium"
"18"	"Otu0043"	3.52048	"n12"	2.90549	-3.42243	0.0101234	"Firmicutes"	"Lachnoclostridium"	"Lachnoclostridium"
"19"	"Otu0044"	3.63851	"n12"	3.011	-2.93152	0.0165038	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"20"	"Otu0047"	3.83544	"n12"	3.50115	-2.86368	0.000101765	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_ge"
"21"	"Otu0057"	3.4388	"n12"	3.00873	-2.14737	0.0146991	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"22"	"Otu0061"	3.82582	"n12"	3.52049	-2.80616	5.04391e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"23"	"Otu0062"	3.70866	"n12"	3.39162	-3.21069	7.26305e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_UCG-006"
"24"	"Otu0063"	3.85874	"n12"	3.56551	-2.73473	3.2593e-05	"Firmicutes"	"Ruminococcus"	"Ruminococcus"
"25"	"Otu0066"	3.71975	"n12"	3.38357	-3.41657	6.44311e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"26"	"Otu0072"	3.56818	"n12"	3.18735	-3.16512	0.000415922	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_unclassified"
"27"	"Otu0074"	3.60823	"n12"	3.21794	-2.10557	0.00239278	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"28"	"Otu0077"	3.91331	"n12"	3.58405	-3.0063	0.000117683	"Firmicutes"	"Tyzzerella"	"Tyzzerella"
"29"	"Otu0078"	3.85828	"n12"	3.55632	-2.89111	3.2593e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"30"	"Otu0079"	3.81414	"n12"	3.48938	-2.88658	5.04391e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"31"	"Otu0081"	3.79423	"n12"	3.47336	-3.39149	6.44311e-05	"Firmicutes"	"Other"	"uncultured"
"32"	"Otu0082"	3.24957	"n12"	2.88254	-3.26848	0.000719625	"Firmicutes"	"Other"	"uncultured"
"33"	"Otu0084"	3.84301	"n12"	3.54291	-3.28319	4.17566e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"34"	"Otu0086"	3.41211	"n12"	3.05265	-3.12631	0.000119971	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"35"	"Otu0087"	2.86126	"n12"	2.60961	-2.53983	0.000871655	"Bacteria_unclassified"	"Other"	"Bacteria_unclassified"
"36"	"Otu0088"	3.61902	"n12"	3.2897	-2.03406	0.000101765	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_ge"
"37"	"Otu0091"	3.71825	"n12"	3.40561	-2.65378	0.000871655	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_ge"
"38"	"Otu0095"	3.579	"n12"	3.17902	-3.11511	0.000218414	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"39"	"Otu0097"	3.31138	"n12"	3.01206	-2.2581	0.000119971	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"40"	"Otu0099"	2.94929	"n12"	2.55476	-2.05714	0.0108895	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"41"	"Otu0100"	2.97088	"n12"	2.49637	-2.91518	0.0157974	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_UCG-006"
"42"	"Otu0101"	2.97057	"n12"	2.5482	-2.99037	0.00284405	"Firmicutes"	"Syntrophococcus"	"Syntrophococcus"
"43"	"Otu0102"	3.14466	"n12"	2.81027	-2.23287	0.00655082	"Actinobacteria"	"Eggerthella"	"Eggerthella"
