"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"1"	"Otu0001"	5.9951	"p00"	5.67696	5.67696	0.0061699	"Firmicutes"	"Lactobacillus"	"Lactobacillus"
"2"	"Otu0002"	5.01007	"n12"	4.74077	-4.74077	0.0061699	"Verrucomicrobia"	"Verrucomicrobiaceae_unclassified"	"Verrucomicrobiaceae_unclassified"
"3"	"Otu0003"	4.40536	"n12"	4.20996	-4.20996	0.0060537	"Proteobacteria"	"Escherichia-Shigella"	"Escherichia-Shigella"
"4"	"Otu0005"	5.08206	"n12"	4.84873	-4.84873	0.0061699	"Bacteroidetes"	"Bacteroides"	"Bacteroides"
"5"	"Otu0021"	4.09633	"n12"	3.77036	-3.77036	0.0446097	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"6"	"Otu0032"	2.67609	"n12"	2.34963	-2.34963	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"7"	"Otu0034"	4.61527	"n12"	4.35023	-4.35023	0.00506203	"Firmicutes"	"Lactobacillus"	"Lactobacillus"
"8"	"Otu0035"	4.00463	"n12"	3.65396	-3.65396	0.0351749	"Actinobacteria"	"Coriobacteriaceae_unclassified"	"Coriobacteriaceae_unclassified"
"9"	"Otu0039"	4.01134	"n12"	3.65416	-3.65416	0.049746	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"10"	"Otu0044"	3.38195	"n12"	3.02585	-3.02585	0.049746	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"11"	"Otu0045"	3.42912	"n12"	3.0574	-3.0574	0.011164	"Actinobacteria"	"Olsenella"	"Olsenella"
"12"	"Otu0052"	3.02873	"n12"	2.67617	-2.67617	0.0220436	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"13"	"Otu0053"	3.037	"n12"	2.67265	-2.67265	0.0220436	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_UCG-008"
"14"	"Otu0055"	2.57805	"n12"	2.22463	-2.22463	0.0351749	"Firmicutes"	"Caproiciproducens"	"Caproiciproducens"
"15"	"Otu0056"	3.23866	"n12"	2.8692	-2.8692	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"16"	"Otu0057"	4.11026	"n12"	3.78699	-3.78699	0.049746	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"17"	"Otu0063"	3.28677	"n12"	2.91549	-2.91549	0.0351749	"Firmicutes"	"Ruminococcus"	"Ruminococcus"
"18"	"Otu0064"	3.75276	"n12"	3.42243	-3.42243	0.049746	"Firmicutes"	"Clostridiales_unclassified"	"Clostridiales_unclassified"
"19"	"Otu0066"	3.27058	"n12"	2.93152	-2.93152	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"20"	"Otu0069"	3.20849	"n12"	2.86368	-2.86368	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"21"	"Otu0071"	2.44985	"n12"	2.14737	-2.14737	0.0220436	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"22"	"Otu0073"	3.14871	"n12"	2.80616	-2.80616	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"23"	"Otu0074"	3.52709	"n12"	3.21069	-3.21069	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"24"	"Otu0075"	3.04192	"n12"	2.73473	-2.73473	0.0220436	"Firmicutes"	"Clostridiales_unclassified"	"Clostridiales_unclassified"
"25"	"Otu0078"	3.78689	"n12"	3.41657	-3.41657	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"26"	"Otu0079"	3.48456	"n12"	3.16512	-3.16512	0.0151272	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"27"	"Otu0080"	2.47854	"n12"	2.10557	-2.10557	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_FCS020_group"
"28"	"Otu0081"	3.35579	"n12"	3.0063	-3.0063	0.0220436	"Firmicutes"	"Other"	"uncultured"
"29"	"Otu0082"	3.22125	"n12"	2.89111	-2.89111	0.00734473	"Firmicutes"	"Other"	"uncultured"
"30"	"Otu0083"	3.23003	"n12"	2.88658	-2.88658	0.0220436	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"31"	"Otu0084"	3.7281	"n12"	3.39149	-3.39149	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"32"	"Otu0086"	3.61233	"n12"	3.26848	-3.26848	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"33"	"Otu0087"	3.6377	"n12"	3.28319	-3.28319	0.049746	"Bacteria_unclassified"	"Other"	"Bacteria_unclassified"
"34"	"Otu0088"	3.41954	"n12"	3.12631	-3.12631	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_ge"
"35"	"Otu0090"	2.87562	"n12"	2.53983	-2.53983	0.049746	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"36"	"Otu0094"	2.3878	"n12"	2.03406	-2.03406	0.0351749	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"37"	"Otu0095"	3.0142	"n12"	2.65378	-2.65378	0.049746	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"38"	"Otu0097"	3.43441	"n12"	3.11511	-3.11511	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"39"	"Otu0099"	2.63949	"n12"	2.2581	-2.2581	0.011164	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"40"	"Otu0100"	2.38746	"n12"	2.05714	-2.05714	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_UCG-006"
"41"	"Otu0101"	3.26389	"n12"	2.91518	-2.91518	0.0351749	"Firmicutes"	"Syntrophococcus"	"Syntrophococcus"
"42"	"Otu0102"	3.34871	"n12"	2.99037	-2.99037	0.011164	"Actinobacteria"	"Eggerthella"	"Eggerthella"
"43"	"Otu0104"	2.58795	"n12"	2.23287	-2.23287	0.0366275	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"44"	"Otu0105"	2.97177	"n12"	2.67335	-2.67335	0.00282232	"Firmicutes"	"Lactobacillus"	"Lactobacillus"
"45"	"Otu0106"	3.16487	"n12"	2.81847	-2.81847	0.0220436	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"46"	"Otu0107"	2.79205	"n12"	2.44957	-2.44957	0.0351749	"Firmicutes"	"Firmicutes_unclassified"	"Firmicutes_unclassified"
"47"	"Otu0108"	3.62141	"n12"	3.26386	-3.26386	0.0351749	"Bacteria_unclassified"	"Other"	"Bacteria_unclassified"
"48"	"Otu0109"	2.943	"n12"	2.65001	-2.65001	0.0220436	"Firmicutes"	"Fusicatenibacter"	"Fusicatenibacter"
"49"	"Otu0110"	2.58542	"n12"	2.18201	-2.18201	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"50"	"Otu0111"	2.90257	"n12"	2.55926	-2.55926	0.0220436	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"51"	"Otu0113"	2.62273	"n12"	2.29473	-2.29473	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"52"	"Otu0115"	3.16748	"n12"	2.79717	-2.79717	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"53"	"Otu0116"	2.68997	"n12"	2.31946	-2.31946	0.0351749	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"54"	"Otu0117"	3.18876	"n12"	2.8474	-2.8474	0.011164	"Firmicutes"	"Fusicatenibacter"	"Fusicatenibacter"
"55"	"Otu0118"	3.24901	"n12"	2.98713	-2.98713	0.00282232	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
